key,11
#,
offset,0
int32,str
0,0
1,0
2,0
3,Hush! The anoles draw near!
4,Allow not a single imp to escape!
5,There are too many of them!
6,The gnats! They're everywhere!
7,Hostile sylphs approach! Draw your weapons!
8,Whence did these stags come!?
9,We must keep the roads safe!
10,These knaves must be taught a lesson!
11,It is the beans they are after!
12,The Ixal! Someone save us!
13,What are ziz doing this far east!?
14,The bud! We must protect the bud!
15,Take care. Something has the opo-opos in a frenzy.
16,Seven hells! It's time for a change in plans.
17,"Kill them all, my pet!"
18,Would someone be so kind as to assist us?
19,My wares! Those damned goblins have made off with my wares!
20,Would ye look at all them golems!
21,Not <hex:021A020203>more<hex:021A020103> imps! They'll have all our honey!
22,"At this rate, there'll be no flowers left at all!"
23,Intercept the Ixali raiders!
24,Get this man away from me!
25,Excelsior!
26,Ngaaah!
27,Hyah!
28,Begone!
29,Down with you!
30,Try that again!
31,You're mine!
32,Had enough!?
33,Take that!
34,Yaaaaaah!
35,I'll kill all ye bastards!
36,Out of me way!
37,Yer head's mine!
38,Let us dance!
39,Seek you audience with the king?
40,Kneel before your king!
41,I want to hear you sing!
42,Come a little closer.
43,Why do you defy me?
44,I am not amused!
45,"Dance, you fools!"
46,Is this what you seek?
47,Hissssss!
48,Whaddaya treeslugs talkinbout!?
49,Yehavn't seentha lassa Spessser! Hic!
50,Gah hah hah! Who's next!?
51,Ulp! I just wanted to drink my mead in peace!
52,You's a probbluh...prob...prollem wif that!?
53,Thal's balls!
54,This one has made ready!
55,Listen! The forest speaks!
56,These ones must suffer!
57,This one will not perish!
58,Come! The Wood Wailers seek volunteers!
59,"Ye may've made it this far, but ye ain't gettin' out alive."
60,Hit me with all you have!
61,Enough! You've done well today.
62,There are too many of them!
63,Tonight we shall poach the poachers!
64,Are the resources of the city–state so thinly stretched that they must send adventurers to do their dirty work?
65,Damn you all! The forest is not yours to claim!
66,Lustyeye uplanders seek goodgobbies' gobbiepack goodies?
67,Gobbiepack! Gobbiepack!
68,Gobbiepack! Gobbiepack! Little room!
69,Gobbiepack! Gobbiepack! Filled with boom!
70,No! Gobbiekeep rumbles and overtumbles!
71,"Backwalk with fastness, uplander! Or else...ba-boom!"
72,Fireboom! Fireboom!
73,Fireboom! Fireboom! Uplander's doom!
74,Fireboom! Fireboom! Uplander's tomb!
75,Gobbiekeep crumbles and overtumbles!
76,Gobbiekeep tumbles and undercrumbles!
77,Narrowheart uplander seeks overtossing of good Gobbiekeep! Stikflix backpays with much fireboom!
78,Gobbiekin! More fireboom! More fireboom!
79,Oh! Such soreness of gut! Might we be making busydeal? No?
80,Stikflix! Stikflix!
81,Stikflix! Stikflix! Quickflicks gloom!
82,Stikflix! Stikflix! Fireboom resumes!
83,"Fellow creatures! Come, follow this one!"
84,This one angers...
85,This one grows weary...
86,This one will suffer at the hands of the grounded ones no more!
87,Your Highness!
88,Sit yer poxy arse down!
89,Gah hah hah!
90,I could have taken him... Honest!
91,You have my thanks!
92,Mercy!
93,The Order has no need for milksops!
94,Oh dear! Here he comes!
95,High time I should check the crops...
96,The ladybugs! They're attacking the bees!
97,Someone help! The poor honeybees don't stand a chance!
98,The harvest will be a good one this season. I can feel it! You have my thanks!
99,Another harvest lost...
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,This one requires aid!
108,Many thanks!
109,Hm? Do you hear something?
110,"Why, you sneaky flying rat! I'll see you never eat another Lalafell!"
111,"Sod off, ye sack o' squirrel shite!"
112,Who invited this bastard!?
113,How's about I escort ye off the premises?
114,I spy a throat needs slittin'!
115,Lookin' fer us?
116,Sneaky bastards.
117,Body feels...so heavy...
118,Curses! Not now!
119,They are too quick for me... I am done for...
120,I don't believe they will follow any further.
121,You have done a great service for Ul'dah.
122,<rumble> <rumble>
123,<rumble>
124,Sheep! Scores of them!
125,Slay the rabid beasts before they can force their way to the Zephyr Gate!
126,"I fear my pursuers may have circled around, and await us ahead."
127,"If the Amalj'aa have already made it this far, they will use this place to trap us."
128,"Little Ala Mhigo is close, but not close enough. Look alive, friend!"
129,We're discovered!
130,How did ye find this place!?
131,Me loyal pups!
132,Come closer. I'll slit yer throat and toss yer corpse to the mad serpent.
133,Wh-Where are me men!? Wh-Where are me maidens!?
134,"Try an' catch me, ye two-legged lubber!"
135,"Back fer more, eh? I sharpened me blade, just fer this very occasion."
136,Eat 'em alive!
137,M-M-Might ye consider a parley?
138,The boss ain't goin' to like this one bit...
139,0
140,Die!
141,Take the women alive!
142,To the abyss with ye!
143,Kindly uplander! Gobbieflock needs quick hand-lending!
144,Pshkohhh... Overmany deepsores... Blood and bile! Blood and bile!
145,Hand-lending! Hand-lending!
146,Pshkohhh... Much soreness...
147,Uplander saves gobbieflock! Huzzah! Zah hah!
148,Many thanks! Many thanks!
149,Kindly uplander now taking gobbie jinglyshine!
150,Shkoh! Shkoh! More fastness! More fastness!
151,Shkoh! Brayflox shall see to thunderfoot!
152,Shkoh! Shkoh! More backstrike! More forestrike!
153,Psheew... Brayflox backwalks from foregate of deathpit!
154,Shkoh! Shkoh! Gobfists of Brayflox are having no match!
155,Shkoh! Shkoh! Fireboom! Overboom!
156,Gobbie...boom?
157,Shkoh! Shkoh! Present for kindly uplander!
158,Shkoh! Shkoh! Victory for Brayflox! Longstop is not overturning!
159,Brayflox is come to give goodly uplander gobbie hand-lending!
160,There! Thunderclaw is blood and bile!
161,Othermore deednotch added to gobbiebelt!
162,"Oh, goodly Brayflox!"
163,"Oh, mighty Brayflox!"
164,"Yes, yes! More tongueflaps! More tongueflaps!"
165,Help! Someone! I'm being chased by jackals!
166,Get away!
167,I was only joking!
168,Please! I didn't mean any harm!
169,I'm...still alive...? Thank the Twelve!
170,What in the seven hells is that thing!?
171,No man in his right mind would fish here!
172,You hear that?
173,I need a drink...
174,For the Admiral!
175,"Look alive, privates!"
176,They're only bloody jackals!
177,Must I do everything!?
178,"You haven't had enough, have you!?"
179,"Suck it up, lad! You're a storm soldier now!"
180,Something's wrong... I can feel it...
181,Another victory for the Admiral!
182,A disgrace! Each and every one of you!
183,I suppose it's time I be makin' the rounds.
184,I have a bad feelin' 'bout this.
185,Bloody hells! Not again!
186,"If I never see another cave bat, it'll be too soon."
187,"You stay the hells away from my stock, you filthy flyin' rat!"
188,Me dodos! Someone save me poor dodos!
189,We cannot let these bats out to feed. Their bite'll drive both man and beast to madness!
190,Today is the day! The miller's daughter will finally be mine!
191,"Oh, wherever could he be?"
192,"Many have visited the maiden's garden, yet her flower remains unplucked."
193,"Today, that changes!"
194,"Ah, milady. Will you forgive me for my tardiness?"
195,"Out here, all alone... I was so frightened! "
196,Why did you wish to see me so far from town?
197,"Ah yes, let me explain, my love..."
198,Your love?
199,"Your eyes are like sapphires, your lips, rubies. And your breasts... Those br─"
200,What was that!?
201,A-A-A monster! Save me!
202,Save you!? Who's going to save me!?
203,Do something! Anything!
204,It's your fault we're out here in the first place!
205,I'm going home.
206,W-Wait!
207,"Don't ever call on me again, coward!"
208,B-But I never got the chance to tell you about your br─
209,Hmph!
210,<sigh> I wonder if she has a sister...
211,Did you hear that?
212,Hah hah! Right into me hands!
213,Freebooters! Keep them away!
214,What does it look like I'm doing?
215,Have at 'em lads! Ye keep what ye kill!
216,The damned gobdaw's at it again!
217,Quiet down before I shut you up myself!
218,I told you to stop!
219,I'll show you what we here at the Quay think of stowaways.
