key,0
#,Name
offset,0
int32,str
0,
1,Emerald Carbuncle
2,Topaz Carbuncle
3,
4,
5,
6,Eos
7,Selene
8,Rook Autoturret
9,Bishop Autoturret
10,Demi-Bahamut
11,
12,Demi-Bahamut
13,
14,Demi-Phoenix
15,Seraph
16,Moonstone Carbuncle
17,Esteem
18,Automaton Queen
19,Bunshin
20,Demi-Phoenix
21,Seraph
22,Bunshin
23,Carbuncle
24,Ruby Carbuncle
25,Topaz Carbuncle
26,Emerald Carbuncle
27,Ifrit-Egi
28,Titan-Egi
29,Garuda-Egi
30,Ruby Ifrit
31,Topaz Titan
32,Emerald Garuda
33,
34,Amber Carbuncle
35,Bishop Autoturret
36,Carbuncle
37,Carbuncle
38,Ruby Carbuncle
39,Ruby Carbuncle
40,Obsidian Carbuncle
41,Obsidian Carbuncle
42,Obsidian Carbuncle
43,Obsidian Carbuncle
44,Moonstone Carbuncle
45,Moonstone Carbuncle
46,Solar Bahamut
