key,0,2,8
#,Name,Name{NoArticle},
offset,0,4,8
int32,str,str,str
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,Levemete,levemete,
19,,,
20,Hydaelyn,Hydaelyn,
21,Eorzea,Eorzea,
22,La Noscea,La Noscea,
23,The Black Shroud,Black Shroud,
24,Thanalan,Thanalan,
25,Coerthas,Coerthas,
26,Mor Dhona,Mor Dhona,
27,Limsa Lominsa,Limsa Lominsa,
28,Limsa Lominsa Upper Decks,Limsa Lominsa upper decks,
29,Limsa Lominsa Lower Decks,Limsa Lominsa lower decks,
30,Middle La Noscea,middle La Noscea,
31,Lower La Noscea,lower La Noscea,
32,Eastern La Noscea,eastern La Noscea,
33,Western La Noscea,western La Noscea,
34,Upper La Noscea,upper La Noscea,
35,Sastasha,Sastasha,
36,Brayflox's Longstop,Brayflox's Longstop,
37,The Wanderer's Palace,Wanderer's Palace,
38,,,
39,Gridania,Gridania,
40,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald,
41,Ul'dah - Steps of Thal,Ul'dah - Steps of Thal,
42,Western Thanalan,western Thanalan,
43,Central Thanalan,central Thanalan,
44,Eastern Thanalan,eastern Thanalan,
45,Southern Thanalan,southern Thanalan,
46,Northern Thanalan,northern Thanalan,
47,Cutter's Cry,Cutter's Cry,
48,Copperbell Mines,Copperbell Mines,
49,Halatali,Halatali,
50,The Sunken Temple of Qarn,Sunken Temple of Qarn,
51,Ul'dah,Ul'dah,
52,New Gridania,New Gridania,
53,Old Gridania,Old Gridania,
54,Central Shroud,Central Shroud,
55,East Shroud,East Shroud,
56,South Shroud,South Shroud,
57,North Shroud,North Shroud,
58,The Tam-Tara Deepcroft,Tam-Tara Deepcroft,
59,Haukke Manor,Haukke Manor,
60,,,
61,The Thousand Maws of Toto-Rak,Thousand Maws of Toto-Rak,
62,Ishgard,Ishgard,
63,Coerthas Central Highlands,Coerthas central highlands,
64,Dzemael Darkhold,Dzemael Darkhold,
65,Aurum Vale,Aurum Vale,
66,Far East,Far East,
67,Mor Dhona,Mor Dhona,
68,Jadeite Thick,Jadeite Thick,
69,Greentear,Greentear,
70,Bentbranch,Bentbranch,
71,Sorrel Haven,Sorrel Haven,
72,The Standing Corses,Standing Corses,
73,The Honey Yard,Honey Yard,
74,Nine Ivies,Nine Ivies,
75,The Bramble Patch,Bramble Patch,
76,Larkscall,Larkscall,
77,Sylphlands,Sylphlands,
78,Upper Paths,Upper Paths,
79,Lower Paths,Lower Paths,
80,Snakemolt,Snakemolt,
81,Silent Arbor,Silent Arbor,
82,Urth's Gift,Urth's Gift,
83,Treespeak,Treespeak,
84,Peacegarden,Peacegarden,
85,Alder Springs,Alder Springs,
86,Proud Creek,Proud Creek,
87,Blue Badger Gate,Blue Badger Gate,
88,White Wolf Gate,White Wolf Gate,
89,Gilbert's Spire,Gilbert's Spire,
90,The Bannock,Bannock,
91,Gabineaux's Bower,Gabineaux's Bower,
92,Naked Rock,Naked Rock,
93,Spirithold,Spirithold,
94,Bentbranch Meadows,Bentbranch Meadows,
95,Galvanth's Spire,Galvanth's Spire,
96,The Matron's Lethe,Matron's Lethe,
97,The Tam-Tara Deepcroft,Tam-Tara Deepcroft,
98,The Mirror Planks,Mirror Planks,
99,Lilystone,Lilystone,
100,The Hedgetree,Hedgetree,
101,Everschade,Everschade,
102,Haukke Manor,Haukke Manor,
103,Sanguine Perch,Sanguine Perch,
104,Hopeseed Pond,Hopeseed Pond,
105,Amberscale Rock,Amberscale Rock,
106,Spriggan Dig,Spriggan Dig,
107,The Hawthorne Hut,Hawthorne Hut,
108,The Hedgetree,Hedgetree,
109,,,
110,Amarissaix's Spire,Amarissaix's Spire,
111,Castrum Oriens,Castrum Oriens,
112,Sanctum of the Twelve,Sanctum of the Twelve,
113,Little Solace,Little Solace,
114,Moonspore Grove,Moonspore Grove,
115,The Seedbed,Seedbed,
116,Goldleaf Dais,Goldleaf Dais,
117,Hanging Barbs,Hanging Barbs,
118,Buscarron's Scar,Buscarron's Scar,
119,Buscarron's Druthers,Buscarron's Druthers,
120,The Thousand Maws of Toto-Rak,Thousand Maws of Toto-Rak,
121,Issom-Har,Issom-Har,
122,No Man's Hovel,No Man's Hovel,
123,Camp Tranquil,Camp Tranquil,
124,,,
125,The Lost City of Amdapor,Lost City of Amdapor,
126,Rootslake,Rootslake,
127,South Shroud Landing,South Shroud landing,
128,Amdapor Keep,Amdapor Keep,
129,Quarrymill,Quarrymill,
130,Redbelly Hive,Redbelly Hive,
131,Goblins' Meet,Goblins' Meet,
132,Takers' Rot,Takers' Rot,
133,Urth's Fount,Urth's Fount,
134,,,
135,Yellow Serpent Gate,Yellow Serpent Gate,
136,Treespeak Stables,Treespeak Stables,
137,E-Tatt's Spire,E-Tatt's Spire,
138,The Hedgetree,Hedgetree,
139,Hyrstmill,Hyrstmill,
140,Fallgourd Float,Fallgourd Float,
141,The Bobbing Cork,Bobbing Cork,
142,Florentel's Spire,Florentel's Spire,
143,Finders' Bluff,Finders' Bluff,
144,Gelmorra Ruins,Gelmorra Ruins,
145,Ixali Logging Grounds,Ixali logging grounds,
146,Eugenia's Spire,Eugenia's Spire,
147,Hall of the Novice,Hall of the Novice,
148,,,
149,,,
150,,,
151,The Roost,Roost,
152,Eorzean Subterrane,Eorzean Subterrane,
153,Mordion Gaol,Mordion Gaol,
