key,21,22,23,24,25
#,,,,,
offset,0,4,8,12,16
int32,str,str,str,str,str
0,,,,,
5,Operation Landsweep,"Ever since a vagrant ruin drifted into the vicinity of the Diadem, the elemental balance of the isles has fallen into chaos. The land has undergone dramatic transformations, and we seek adventurers to conduct sweeping surveys and report on newly available resources. Mining, harvesting, fishing─gather the Diadem's bounty by whichever means you wish, and fear not that we will tax the riches you claim. We care only for the knowledge you uncover.<hex:02100103><hex:02100103>※Fill the evaluation gauge by gathering or participating in FATEs.",Operation Command here.<hex:02100103>We have received your resources report and will add your findings to our ongoing appraisal.,Pray proceed to the <hex:021A020203>Bounty<hex:021A020103> to accept your reward.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
6,,,,,
7,Operation Crystal Boon,Elemental upheaval throughout the Diadem continues to produce crystallized aether of astounding properties.<hex:02100103><hex:02100103>House Haillenarte would claim this unique resource. Gather armfuls of over-aspected crystals and deliver them to the pilot at the <hex:021A020203>Bounty<hex:021A020103>.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.,Operation Command here.<hex:02100103>We have received your report and confirm that all mission objectives have been fulfilled.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
8,Operation Depopulate,"The dense aetherial concentration of the Diadem seems to attract the deadliest of creatures. Needless to say, these oft-hostile denizens significantly impede our efforts to explore the isles.<hex:02100103><hex:02100103>Thus we turn to you─to battle-hardened adventurers─to cull their numbers. Make use of the traps provided, lure forth your prey, and slay without mercy.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>We have received your report and confirm that all mission objectives have been fulfilled.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
9,Operation Depopulate,"The dense aetherial concentration of the Diadem seems to attract the deadliest of creatures. Needless to say, these oft-hostile denizens significantly impede our efforts to explore the isles.<hex:02100103><hex:02100103>Thus we turn to you─to battle-hardened adventurers─to cull their numbers. Make use of the traps provided, lure forth your prey, and slay without mercy.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>The menace which interrupted your mission has been confirmed slain.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
10,Operation Depopulate,"The dense aetherial concentration of the Diadem seems to attract the deadliest of creatures. Needless to say, these oft-hostile denizens significantly impede our efforts to explore the isles.<hex:02100103><hex:02100103>Thus we turn to you─to battle-hardened adventurers─to cull their numbers. Make use of the traps provided, lure forth your prey, and slay without mercy.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>We have received your report and confirm that all mission objectives have been fulfilled.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
11,Operation Bloody Harvest,"The Diadem is a world of its own, and the fantastical creatures found here are prime examples of the effects of prolonged isolation. Strange as they are, certain of these denizens have been rendered even stranger by the prevailing tempest of unstable aether...<hex:02100103><hex:02100103>House Haillenarte naturalists are eager to examine the effects of elemental destabilization on the wildlife, and it falls to you to procure suitable samples for research. Make use of the traps provided, lure your prey, and obtain the requested specimens.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>We have received your report and confirm that all mission objectives have been fulfilled.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
12,Operation Lethal Attraction,"During our explorations throughout the Diadem, we have discovered that the scents emitted by certain species are effective in attracting many of the isles' predators. House Haillenarte's alchemists believe that they can mix these scents to concoct an all-purpose lure, and thus greatly improve the efficiency of our hunting parties. Track down two of the more potent-smelling examples, and harvest from them the substances our alchemists require.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>We have received your report and confirm that all mission objectives have been fulfilled.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
13,Operation Egg Hunt,"As part of House Haillenarte's ongoing naturalist research, we require an intrepid party to procure one of those fiendishly well-hidden dinosaur eggs. Rather than point you in a direction and hope for the best, however, our strategy relies upon the discerning appetite of the region's yolk mice.<hex:02100103><hex:02100103>We ask that you begin with the usual business of hunting the isles' denizens. But should the egg-devouring rodents surface, pray make haste to their location─the prize we seek cannot be far away. Slay the mice, secure the egg, then convey it to the designated collection point.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",That's far enough for a House Haillenarte agent to effect a safe retrieval.<hex:02100103>Nicely done!,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
14,Operation Egg Hunt,"As part of House Haillenarte's ongoing naturalist research, we require an intrepid party to procure one of those fiendishly well-hidden dinosaur eggs. Rather than point you in a direction and hope for the best, however, our strategy relies upon the discerning appetite of the region's yolk mice.<hex:02100103><hex:02100103>We ask that you begin with the usual business of hunting the isles' denizens. But should the egg-devouring rodents surface, pray make haste to their location─the prize we seek cannot be far away. Slay the mice, secure the egg, then convey it to the designated collection point.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",That's far enough for a House Haillenarte agent to effect a safe retrieval.<hex:02100103>Nicely done!,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
15,Operation Defang,"The beasts of the Diadem pose the greatest obstacle to its exploration, and thus House Haillenarte has devised an alchemical solution. This enfeebling agent is designed to weaken the isles' denizens, but more experimentation is needed. Enter our adventurer allies! We will provide you with a supply of the elixir, as well as the targets upon which we wish the agent to be tested.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>We've confirmed the results of the field test. Fine work.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
16,,,,,
17,Operation Crystal Boon,Elemental upheaval throughout the Diadem continues to produce crystallized aether of astounding properties.<hex:02100103><hex:02100103>House Haillenarte would claim this unique resource. Gather armfuls of over-aspected crystals and deliver them to the pilot at the <hex:021A020203>Bounty<hex:021A020103>.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.,Operation Command here.<hex:02100103>We have received your report and confirm that all mission objectives have been fulfilled.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
18,Operation Depopulate,"The dense aetherial concentration of the Diadem seems to attract the deadliest of creatures. Needless to say, these oft-hostile denizens significantly impede our efforts to explore the isles.<hex:02100103><hex:02100103>Thus we turn to you─to battle-hardened adventurers─to cull their numbers. Make use of the traps provided, lure forth your prey, and slay without mercy.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>The menace which interrupted your mission has been confirmed slain.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
19,Operation Depopulate,"The dense aetherial concentration of the Diadem seems to attract the deadliest of creatures. Needless to say, these oft-hostile denizens significantly impede our efforts to explore the isles.<hex:02100103><hex:02100103>Thus we turn to you─to battle-hardened adventurers─to cull their numbers. Make use of the traps provided, lure forth your prey, and slay without mercy.<hex:02100103><hex:02100103>Evaluation of your success will also hinge upon the extent of your explorations.<hex:02100103><hex:02100103>※Fill the evaluation gauge by participating in FATEs.",Operation Command here.<hex:02100103>The menace which interrupted your mission has been confirmed slain.,A fitting reward has been prepared in recognition of your efforts.,"You are otherwise free to enter aetherial gaps, cross through the Grounding Gale, and explore the Diadem as you desire. The unknown awaits!"
