key,3,4
#,Name,
offset,0,4
int32,str,str
0,No Color,No Color
1,Snow White,Snow White
2,Ash Grey,Ash Grey
3,Goobbue Grey,Goobbue Grey
4,Slate Grey,Slate Grey
5,Charcoal Grey,Charcoal Grey
6,Soot Black,Soot Black
7,Rose Pink,Rose Pink
8,Lilac Purple,Lilac Purple
9,Rolanberry Red,Rolanberry Red
10,Dalamud Red,Dalamud Red
11,Rust Red,Rust Red
12,Wine Red,Wine Red
13,Coral Pink,Coral Pink
14,Blood Red,Blood Red
15,Salmon Pink,Salmon Pink
16,Sunset Orange,Sunset Orange
17,Mesa Red,Mesa Red
18,Bark Brown,Bark Brown
19,Chocolate Brown,Chocolate Brown
20,Russet Brown,Russet Brown
21,Kobold Brown,Kobold Brown
22,Cork Brown,Cork Brown
23,Qiqirn Brown,Qiqirn Brown
24,Opo-opo Brown,Opo-opo Brown
25,Aldgoat Brown,Aldgoat Brown
26,Pumpkin Orange,Pumpkin Orange
27,Acorn Brown,Acorn Brown
28,Orchard Brown,Orchard Brown
29,Chestnut Brown,Chestnut Brown
30,Gobbiebag Brown,Gobbiebag Brown
31,Shale Brown,Shale Brown
32,Mole Brown,Mole Brown
33,Loam Brown,Loam Brown
34,Bone White,Bone White
35,Ul Brown,Ul Brown
36,Desert Yellow,Desert Yellow
37,Honey Yellow,Honey Yellow
38,Millioncorn Yellow,Millioncorn Yellow
39,Coeurl Yellow,Coeurl Yellow
40,Cream Yellow,Cream Yellow
41,Halatali Yellow,Halatali Yellow
42,Raisin Brown,Raisin Brown
43,Mud Green,Mud Green
44,Sylph Green,Sylph Green
45,Lime Green,Lime Green
46,Moss Green,Moss Green
47,Meadow Green,Meadow Green
48,Olive Green,Olive Green
49,Marsh Green,Marsh Green
50,Apple Green,Apple Green
51,Cactuar Green,Cactuar Green
52,Hunter Green,Hunter Green
53,Ochu Green,Ochu Green
54,Adamantoise Green,Adamantoise Green
55,Nophica Green,Nophica Green
56,Deepwood Green,Deepwood Green
57,Celeste Green,Celeste Green
58,Turquoise Green,Turquoise Green
59,Morbol Green,Morbol Green
60,Ice Blue,Ice Blue
61,Sky Blue,Sky Blue
62,Seafog Blue,Seafog Blue
63,Peacock Blue,Peacock Blue
64,Rhotano Blue,Rhotano Blue
65,Corpse Blue,Corpse Blue
66,Ceruleum Blue,Ceruleum Blue
67,Woad Blue,Woad Blue
68,Ink Blue,Ink Blue
69,Raptor Blue,Raptor Blue
70,Othard Blue,Othard Blue
71,Storm Blue,Storm Blue
72,Void Blue,Void Blue
73,Royal Blue,Royal Blue
74,Midnight Blue,Midnight Blue
75,Shadow Blue,Shadow Blue
76,Abyssal Blue,Abyssal Blue
77,Lavender Purple,Lavender Purple
78,Gloom Purple,Gloom Purple
79,Currant Purple,Currant Purple
80,Iris Purple,Iris Purple
81,Grape Purple,Grape Purple
82,Lotus Pink,Lotus Pink
83,Colibri Pink,Colibri Pink
84,Plum Purple,Plum Purple
85,Regal Purple,Regal Purple
86,Ruby Red,Ruby Red
87,Cherry Pink,Cherry Pink
88,Canary Yellow,Canary Yellow
89,Vanilla Yellow,Vanilla Yellow
90,Dragoon Blue,Dragoon Blue
91,Turquoise Blue,Turquoise Blue
92,Gunmetal Black,Gunmetal Black
93,Pearl White,Pearl White
94,Metallic Brass,Metallic Brass
95,,
96,,
97,,
98,,
99,,
100,,
101,Pure White,Pure White
102,Jet Black,Jet Black
103,Pastel Pink,Pastel Pink
104,Dark Red,Dark Red
105,Dark Brown,Dark Brown
106,Pastel Green,Pastel Green
107,Dark Green,Dark Green
108,Pastel Blue,Pastel Blue
109,Dark Blue,Dark Blue
110,Pastel Purple,Pastel Purple
111,Dark Purple,Dark Purple
112,Metallic Silver,Metallic Silver
113,Metallic Gold,Metallic Gold
114,Metallic Red,Metallic Red
115,Metallic Orange,Metallic Orange
116,Metallic Yellow,Metallic Yellow
117,Metallic Green,Metallic Green
118,Metallic Sky Blue,Metallic Sky Blue
119,Metallic Blue,Metallic Blue
120,Metallic Purple,Metallic Purple
