key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,Petrification,Stone-like rigidity is preventing the execution of actions.
2,Stun,Unable to execute actions.
3,Sleep,Overwhelming drowsiness is preventing the execution of actions.
4,Daze,Scattered senses are preventing the execution of actions.
5,Amnesia,Unable to use abilities.
6,Pacification,Unable to use weaponskills.
7,Silence,A stifling magic is preventing casts.
8,Haste,"Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are reduced."
9,Slow,"Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are increased."
10,Slow,"Weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay are increased."
11,Confused,Attacking allies instead of the enemy.
12,Levitation,"Floating several ilms off the ground, defying the universal laws of gravity."
13,Bind,Unable to move.
14,Heavy,Movement speed is reduced.
15,Blind,Encroaching darkness is lowering accuracy.
16,,
17,Paralysis,Deadened nerves are sometimes preventing the execution of actions.
18,Poison,Toxins are causing damage over time.
19,Pollen,"Deadly pollen has filled the lungs, causing damage over time."
20,TP Bleed,Bleeding TP over time.
21,HP Boost,Maximum HP is increased.
22,HP Penalty,Maximum HP is reduced.
23,MP Boost,Maximum MP is increased.
24,MP Penalty,Maximum MP is reduced.
25,Attack Up,Attack power is enhanced.
26,Attack Down,Attack power is reduced.
27,Accuracy Up,Accuracy is enhanced.
28,Accuracy Down,Accuracy is reduced.
29,Defense Up,Defense is enhanced.
30,Defense Down,Defense is reduced.
31,Evasion Up,Evasion is enhanced.
32,Evasion Down,Evasion is reduced.
33,Attack Magic Potency Up,Attack magic potency is enhanced.
34,Attack Magic Potency Down,Attack magic potency is reduced.
35,Healing Potency Up,Healing magic potency is enhanced.
36,Healing Potency Down,Healing magic potency is reduced.
37,Magic Defense Up,Magic defense is enhanced.
38,Magic Defense Down,Magic defense is reduced.
39,Stun Resistance,Immune to stun effects.
40,Silence Resistance,Immune to silence effects.
41,Crafting Facility,Maximum CP is increased for crafters level 90 or below.
42,The Echo,"Maximum HP, damage dealt, and potency of HP restoration actions are increased."
43,Weakness,"Strength, dexterity, intelligence, and mind are reduced by 25%."
44,Brink of Death,"Strength, dexterity, intelligence, and mind are reduced by 50%."
45,Crafter's Grace,Increased experience point gains as a Disciple of the Hand.
46,Gatherer's Grace,Increased experience point gains as a Disciple of the Land.
47,Sneak,"You tread carefully, making nary a sound. Enemies up to 4 levels higher than you are oblivious to your presence."
48,Well Fed,Enjoying the benefits of a full belly.
49,Medicated,Performance is being enhanced by a medicinal item.
50,Sprint,Movement speed is increased.
51,Strength Down,Strength is reduced.
52,Vitality Down,Vitality is reduced.
53,Physical Damage Up,Physical damage dealt is increased.
54,Physical Damage Down,Physical damage dealt is reduced.
55,Physical Vulnerability Down,Physical damage taken is reduced.
56,Physical Vulnerability Up,Physical damage taken is increased.
57,Magic Damage Up,Magic damage dealt is increased.
58,Magic Damage Down,Magic damage dealt is reduced.
59,Magic Vulnerability Down,Magic damage taken is reduced.
60,Magic Vulnerability Up,Magic damage taken is increased.
61,Damage Up,Damage dealt is increased.
62,Damage Down,Damage dealt is reduced.
63,Vulnerability Down,Damage taken is reduced.
64,Vulnerability Up,Damage taken is increased.
65,Critical Skill,All weaponskills are dealing critical damage.
66,Terror,Frozen with fear and unable to execute actions.
67,Leaden,"Movement speed is reduced, and cannot be restored by normal means."
68,Drainstrikes,Auto-attacks are generating an <hex:024804F201FA03><hex:024904F201FB03>Absorb HP<hex:0249020103><hex:0248020103> effect.
69,Aspirstrikes,Auto-attacks are generating an <hex:024804F201FA03><hex:024904F201FB03>Absorb MP<hex:0249020103><hex:0248020103> effect.
70,Stunstrikes,Auto-attacks may stun target.
71,Rampart,Damage taken is reduced.
72,Convalescence,HP recovery via healing magic is increased.
73,Awareness,Cannot suffer critical damage.
74,Sentinel,Damage taken is reduced.
75,Tempered Will,Immune to most knockback and draw-in effects.
76,Fight or Flight,Damage dealt is increased.
77,Bulwark,Blocking incoming attacks.
78,Sword Oath,Auto-attacks are enhanced.
79,Iron Will,Enmity is increased.
80,Cover,Protecting a party member.
81,Covered,Under the protection of a party member.
82,Hallowed Ground,Impervious to most attacks.
83,Foresight,Defense is increased.
84,Bloodbath,Physical attacks generate HP equal to a portion of damage dealt.
85,Maim,Damage dealt is increased.
86,Berserk,All weaponskill attacks are both critical and direct hits. Damage dealt when under an effect that raises critical hit rate or direct hit rate is increased.
87,Thrill of Battle,Maximum HP is increased.<hex:02100103>Enhanced Thrill of Battle Effect: HP recovery via healing actions is increased.
88,Holmgang,Unable to move until effect fades.
89,Vengeance,Damage taken is reduced while inflicting a portion of sustained damage back to its source.
90,Storm's Eye,Damage dealt is increased.
91,Defiance,Enmity is increased.
92,Unchained,Damage penalty inflicted by <hex:024804F201F403><hex:024904F201F503>Defiance<hex:0249020103><hex:0248020103> is nullified.
93,Wrath,Chance to parry is increased.
94,Wrath II,Chance to parry is increased.
95,Wrath III,Chance to parry is increased.
96,Wrath IV,Chance to parry is increased.
