key,0,1
#,Destination,Location
offset,0,4
int32,str,str
0,,
1,the Ivory Shoals,Ivory Shoals
2,deep-sea site 1,Site 1
3,deep-sea site 2,Site 2
4,the Lightless Basin,Lightless Basin
5,deep-sea site 3,Site 3
6,the Southern Rimilala Trench,Southern Rimilala
7,the Umbrella Narrow,Umbrella Narrow
8,Offender's Rot,Offender's Rot
9,Neolith Island,Neolith Island
10,unidentified derelict,Derelict
11,the Cobalt Shoals,Cobalt Shoals
12,the Mystic Basin,Mystic Basin
13,deep-sea site 4,Site 4
14,the Central Rimilala Trench,Central Rimilala
15,the Wreckage of <hex:021A020203>Discovery I<hex:021A020103>,<hex:021A020203>Discovery I<hex:021A020103> Wreckage
16,Komura,Komura
17,Kanayama,Kanayama
18,concealed bay,Concealed Bay
19,deep-sea site 5,Site 5
20,Purgatory,Purgatory
21,deep-sea site 6,Site 6
22,the Rimilala Shelf,Rimilala Shelf
23,deep-sea site 7,Site 7
24,Glittersand Basin,Glittersand Basin
25,Flickering Dip,Flickering Dip
26,the Wreckage of the <hex:021A020203>Headway<hex:021A020103>,<hex:021A020203>Headway<hex:021A020103> Wreckage
27,the Upwell,Upwell
28,the Rimilala Trench Bottom,Rimilala Trench Bottom
29,stone temple,Stone Temple
30,sunken vault,Sunken Vault
31,,
32,South Isle of Zozonan,South Isle of Zozonan
33,Wreckage of the <hex:021A020203>Windwalker<hex:021A020103>,<hex:021A020203>Windwalker<hex:021A020103> Wreckage
34,North Isle of Zozonan,North Isle of Zozonan
35,Sea of Ash 1,Sea of Ash 1
36,the Southern Charnel Trench,Southern Charnel Trench
37,Sea of Ash 2,Sea of Ash 2
38,Sea of Ash 3,Sea of Ash 3
39,Ascetic's Demise,Ascetic's Demise
40,the Central Charnel Trench,Central Charnel Trench
41,the Catacombs of the Father,Catacombs of the Father
42,Sea of Ash 4,Sea of Ash 4
43,the Midden Pit,Midden Pit
44,the Lone Glove,Lone Glove
45,Coldtoe Isle,Coldtoe Isle
46,Smuggler's Knot,Smuggler's Knot
47,the Open Robe,Open Robe
48,Nald'thal's Pipe,Nald'thal's Pipe
49,the Slipped Anchor,Slipped Anchor
50,Glutton's Belly,Glutton's Belly
51,the Blue Hole,Blue Hole
52,,
53,the Isle of Sacrament,Isle of Sacrament
54,the Kraken's Tomb,Kraken's Tomb
55,Sea of Jade 1,Sea of Jade 1
56,Rogo-Tumu-Here's Haunt,Rogo-Tumu-Here's Haunt
57,the Stone Barbs,Stone Barbs
58,Rogo-Tumu-Here's Repose,Rogo-Tumu-Here's Repose
59,Tangaroa's Prow,Tangaroa's Prow
60,Sea of Jade 2,Sea of Jade 2
61,the Blind Sound,Blind Sound
62,Sea of Jade 3,Sea of Jade 3
63,Moergynn's Forge,Moergynn's Forge
64,Tangaroa's Beacon,Tangaroa's Beacon
65,Sea of Jade 4,Sea of Jade 4
66,the Forest of Kelp,Forest of Kelp
67,Sea of Jade 5,Sea of Jade 5
68,Bladefall Chasm,Bladefall Chasm
69,Stormport,Stormport
70,Wyrm's Rest,Wyrm's Rest
71,Sea of Jade 6,Sea of Jade 6
72,the Devil's Crypt,Devil's Crypt
73,,
74,Mastbound's Bounty,Mastbound's Bounty
75,Sirensong Sea 1,Sirensong Sea 1
76,Sirensong Sea 2,Sirensong Sea 2
77,Anthemoessa,Anthemoessa
78,Magos Trench,Magos Trench
79,Thrall's Unrest,Thrall's Unrest
80,Crow's Drop,Crow's Drop
81,Sirensong Sea 3,Sirensong Sea 3
82,the Anthemoessa Undertow,Anthemoessa Undertow
83,Sirensong Sea 4,Sirensong Sea 4
84,Seafoam Tide,Seafoam Tide
85,the Beak,Beak
86,Seafarer's End,Seafarer's End
87,Drifter's Decay,Drifter's Decay
88,Lugat's Landing,Lugat's Landing
89,the Frozen Spring,Frozen Spring
90,Sirensong Sea 5,Sirensong Sea 5
91,Tidewind Isle,Tidewind Isle
92,Bloodbreak,Bloodbreak
93,the Crystal Font,Crystal Font
94,,
95,Weeping Trellis,Weeping Trellis
96,the Forsaken Isle,Forsaken Isle
97,Fortune's Ford,Fortune's Ford
98,Lilac Sea 1,Lilac Sea 1
99,Runners' Reach,Runners' Reach
100,Bellflower Flood,Bellflower Flood
101,Lilac Sea 2,Lilac Sea 2
102,Lilac Sea 3,Lilac Sea 3
103,Northwest Bellflower,northwest Bellflower
104,Corolla Isle,Corolla Isle
105,Southeast Bellflower,southeast Bellflower
106,the Floral Reef,floral reef
107,Wingsreach,Wingsreach
108,the Floating Standard,Floating Standard
109,the Fluttering Bay,Fluttering Bay
110,Lilac Sea 4,Lilac Sea 4
111,Proudkeel,Proudkeel
112,East Dodie's Abyss,east Dodie's Abyss
113,Lilac Sea 5,Lilac Sea 5
114,West Dodie's Abyss,west Dodie's Abyss
115,,
116,the Indigo Shallows,Indigo Shallows
117,Voyagers' Reprieve,Voyagers' Reprieve
118,North Delphinium Seashelf,north Delphinium Seashelf
119,Rainbringer Rift,Rainbringer Rift
120,South Indigo Deep 1,south Indigo Deep 1
121,the Central Blue,Central Blue
122,South Indigo Deep 2,south Indigo Deep 2
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
