key,10,11
#,Name,Question
offset,0,4
int32,str,str
131072,,
131073,,
131074,,Proceed to the Seat of the First Bow?
131075,,Leave the Seat of the First Bow?
131076,,Leave the Lotus Stand?
131077,Purchase Passage to Sweetbloom Pier,Board the ferry to Sweetbloom Pier?
131078,,Board the ferry to Old Gridania?
131079,,
131080,,
131081,,
131082,,Exit room?
131083,,Exit room?
131084,,Exit room?
131085,,Leave the Heart of the Sworn?
131086,,Take the ferry to Crescent Cove for 40 gil?
131087,,Take the ferry to the Silver Bazaar for 40 gil?
131088,,Enter the Waking Sands?
131089,,Leave the Waking Sands?
131090,,Enter the solar?
131091,,Leave the solar?
131092,Ride Lift to the Airship Landing,Proceed to the airship landing?
131093,Ride Lift to the Drowning Wench,Proceed to the Drowning Wench?
131094,Ride Lift to Bulwark Hall,Proceed to Bulwark Hall?
131095,Ride Lift to the Airship Landing,Proceed to the airship landing?
131096,Ride Lift to the Hustings Strip,Proceed to the Hustings Strip?
131097,Ride Lift to the Ruby Road Exchange,Proceed to the Ruby Road Exchange?
131098,,Proceed into the Heart of the Sworn?
131099,,Proceed to the Bowl of Embers?
131100,,Leave the immediate area?
131101,Purchase Passage to Gridania,Travel to Gridania for 120 gil?
131102,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 120 gil?
131103,Purchase Passage to Ul'dah,Travel to Ul'dah for 120 gil?
131104,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 120 gil?
131105,Purchase Passage to Ul'dah,Travel to Ul'dah for 120 gil?
131106,Purchase Passage to Gridania,Travel to Gridania for 120 gil?
131107,,Travel to Limsa Lominsa for 80 gil?
131108,,Travel to Vesper Bay for 80 gil?
131109,Purchase Passage to Aleport,Travel to Aleport for 40 gil?
131110,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 40 gil?
131111,Purchase Passage to Costa del Sol,Travel to Costa del Sol for 40 gil?
131112,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 40 gil?
131113,Purchase Passage to Jijiroon's Trading Post,Travel to Jijiroon's Trading Post for 40 gil?
131114,Purchase Passage to Memeroon's Trading Post,Travel to Memeroon's Trading Post for 40 gil?
131115,Purchase Passage to Aleport,Travel to Aleport for 40 gil?
131116,Purchase Passage to Candlekeep Quay,Travel to Candlekeep Quay for 40 gil?
131117,Travel Beyond the White Wolf Gate,Travel beyond the White Wolf Gate?
131118,,Enter Gridania?
131119,Purchase Passage to Raincatcher Gully,Travel to Raincatcher Gully for 40 gil?
131120,Purchase Passage to Hidden Falls,Travel to Hidden Falls for 40 gil?
131121,Seek Entry to the Lotus Stand,Proceed to the Lotus Stand?
131122,Seek Entry to the Command Room,Enter the command room?
131123,,Leave the command room?
131124,,
131125,,
131126,,Travel to the Minotaur Malm?
131127,,Travel to Nald's Reflection?
131128,,Leave the landing area?
131129,,Leave the landing area?
131130,,Leave the landing area?
131131,Seek Passage to the Wolves' Den,Travel to the Wolves' Den?
131132,Seek Passage to the Moraby Drydocks,Travel to the Moraby Drydocks?
131133,Seek Passage to Aleport,Travel to Aleport?
131134,Purchase Passage to the Isles of Umbra,Travel to the Isles of Umbra for 40 gil?
131135,Seek Passage to Aleport,Travel to Aleport?
131136,Purchase Passage to the Serpent's Tongue,Travel to the Serpent's Tongue for 40 gil?
131137,,Leave Cid's workshop?
131138,,Travel to Gridania?
131139,,Leave the Binding Coil of Bahamut?
131140,,Leave the Binding Coil of Bahamut?
131141,,Activate the lift?
131142,,Enter the solar?
131143,,Leave the solar?
131144,,Enter the Rising Stones?
131145,,Leave the Rising Stones?
131146,,Enter the Eight Sentinels?
131147,,Leave the Eight Sentinels?
131148,,Enter the estate hall?
131149,,Leave the estate hall?
131150,,
131151,,
131152,,Leave the 13th Order workshop?
131153,,Return to Novv's Nursery?
131154,,Return to Novv's Nursery?
131155,,Return to Novv's Nursery?
131156,,Return to Novv's Nursery?
131157,,Return to Novv's Nursery?
131158,Seek Passage to the Lavender Beds,Travel to the Lavender Beds?
131159,,
131160,Seek Passage to Mist,Travel to Mist?
131161,,
131162,,
131163,,
131164,,Leave the Eorzean subterrane?
131165,,Leave the Binding Coil of Bahamut?
131166,,Enter the intercessory?
131167,,Leave the intercessory?
131168,,Leave the Ivory Chapel?
131169,Board the Rhotano Privateer,Board the Rhotano privateer?
131170,Return to Costa del Sol,Return to Costa del Sol?
131171,,Leave the guild?
131172,Enter the Rogues' Guild,Enter the Rogues' Guild?
131173,,Leave the dock storehouse?
131174,Enter the dock storehouse,Enter the dock storehouse?
131175,,Leave the Eorzean subterrane?
131176,,Enter the Ivory Chapel?
131177,,Ride lift to Chocobo Square?
131178,,Return to Entrance Square?
131179,Seek Passage to the Gold Saucer,Travel to the Gold Saucer?
131180,Seek Passage to the Gold Saucer,Travel to the Gold Saucer?
131181,Seek Passage to the Gold Saucer,Travel to the Gold Saucer?
131182,Purchase Passage to Limsa Lominsa,Travel to Limsa Lominsa for 120 gil?
131183,Seek Passage to Ul'dah,Travel to Ul'dah?
131184,Purchase Passage to Gridania,Travel to Gridania for 120 gil?
131185,,Cross the Steps of Faith to the Arc of the Worthy?
131186,,Return to the Gates of Judgement?
131187,Enter the Proving Grounds,Enter the proving grounds?
131188,Seek Passage to Cloudtop,Travel to Cloudtop?
131189,,Travel to the Blue Window?
131190,Seek Passage to Azys Lla,Make the journey to Azys Lla?
131191,,Enter Saint Endalim's Scholasticate?
131192,,Enter Fortemps Manor?
131193,,Leave Saint Endalim's Scholasticate?
131194,,Leave the Seat of the Lord Commander?
