key,1,2,3,4,5,6
#,Name,Description,,,,
offset,0,4,8,12,16,20
int32,str,str,str,str,str,str
0,,,,,,
1,Clear Skies,clear,,,,
2,Fair Skies,fair,,,,
3,Clouds,overcast,,,,
4,Fog,foggy,,,,
5,Wind,windy,,,,
6,Gales,gusty,,,,
7,Rain,rainy,,,,
8,Showers,showery,,,,
9,Thunder,thundery,,,,
10,Thunderstorms,stormy,,,,
11,Dust Storms,dusty,,,,
12,Sandstorms,sandy,,,,
13,Hot Spells,hot,,,,
14,Heat Waves,blistering,,,,
15,Snow,snowy,,,,
16,Blizzards,blizzardy,,,,
17,Gloom,gloomy,,,,
18,Auroras,experiencing auroral activity,,,,
19,Darkness,dark,,,,
20,Tension,crackling with tension,,,,
21,Clouds,overcast,,,,
22,Storm Clouds,threatened by rain,,,,
23,Rough Seas,experiencing rough seas,,,,
24,Rough Seas,experiencing rough seas,,,,
25,Louring,loury,,,,
26,Heat Waves,blistering,,,,
27,Gloom,gloomy,,,,
28,Gales,gusty,,,,
29,Eruptions,erupting,,,,
30,Fair Skies,fair,,,,
31,Fair Skies,fair,,,,
32,Fair Skies,fair,,,,
33,Fair Skies,fair,,,,
34,Fair Skies,fair,,,,
35,Irradiance,irradiant,,,,
36,Core Radiation,radioactive,,,,
37,Core Radiation,radioactive,,,,
38,Core Radiation,radioactive,,,,
39,Core Radiation,radioactive,,,,
40,Shelf Clouds,unnaturally cloudy,,,,
41,Shelf Clouds,unnaturally cloudy,,,,
42,Shelf Clouds,unnaturally cloudy,,,,
43,Shelf Clouds,unnaturally cloudy,,,,
44,Oppression,oppressive,,,,
45,Oppression,oppressive,,,,
46,Oppression,oppressive,,,,
47,Oppression,oppressive,,,,
48,Oppression,oppressive,,,,
49,Umbral Wind,experiencing umbral wind,,,,
50,Umbral Static,experiencing umbral static,,,,
51,Smoke,smoky,,,,
52,Fair Skies,fair,,,,
53,Royal Levin,experiencing royal levin,,,,
54,Hyperelectricity,hyperelectric,,,,
55,Royal Levin,experiencing royal levin,,,,
56,Oppression,oppressive,,,,
57,Thunder,thundery,,,,
58,Thunder,thundery,,,,
59,CutScene,CutScenery,,,,
60,Multiplicity,experiencing multiplicity,,,,
61,Multiplicity,experiencing multiplicity,,,,
62,Rain,rainy,,,,
63,Fair Skies,fair,,,,
64,Rain,rainy,,,,
65,Fair Skies,fair,,,,
66,Dragonstorms,unnaturally stormy,,,,
67,Dragonstorms,unnaturally stormy,,,,
68,Subterrain,subterranean,,,,
69,Concordance,concordant,,,,
70,Concordance,concordant,,,,
71,Beyond Time,temporal,,,,
72,Beyond Time,temporal,,,,
73,Beyond Time,temporal,,,,
74,Demonic Infinity,demonically infinite,,,,
75,Demonic Infinity,demonically infinite,,,,
76,Demonic Infinity,demonically infinite,,,,
77,Dimensional Disruption,extradimensional,,,,
78,Dimensional Disruption,extradimensional,,,,
79,Dimensional Disruption,extradimensional,,,,
80,Revelstorms,revelry,,,,
81,Revelstorms,revelry,,,,
82,Eternal Bliss,blissful,,,,
83,Eternal Bliss,blissful,,,,
84,Wyrmstorms,unnaturally stormy,,,,
85,Wyrmstorms,unnaturally stormy,,,,
86,Revelstorms,revelry,,,,
87,Quicklevin,hypervoltaic,,,,
88,Thunder,thundery,,,,
89,Dimensional Disruption,extradimensional,,,,
90,Fair Skies,fair,,,,
91,Clear Skies,clear,,,,
92,White Cyclones,cyclonic,,,,
93,White Cyclones,cyclonic,,,,
94,White Cyclones,cyclonic,,,,
95,Ultimania,ultimaniacal,,,,
96,White Cyclones,cyclonic,,,,
97,Moonlight,moonlit,,,,
98,Moonlight,moonlit,,,,
