key,Column 3
#,Dialogue
offset,0
int32,str
0,
1,
2,"Come one, come all!"
3,"We've the best prices in the realm!"
4,Zzz......
5,Any word on the Empire?
6,Our scouts should be returning shortly.
7,"One day, all this'll be mine!"
8,"The wood... It's watching, you know!"
9,"You look odd. Did you do something with your hair?"
10,"A little lanolin goes a long way."
11,You can rest now.
12,Kweh! Kweeeh!
13,"Well done. Report to
the Barracks at once."
14,"It had to have
been the Ixal."
15,"The markings
were consistent."
16,"Allow me to assist
you, good sir."
17,"I need to be back in
Limsa by sundown!"
18,"Where in the seven
hells is that woman?"
19,  ...
20,  ...
21,Zzz...
22,"Just what we need.
Another outsider..."
23,"Where in Oschon's name
are those damned Ixal?"
24,"Those are some
right fine birds."
25,"The markets are
beyond this passage."
26,Kwaaark! Kwaaaaaark!
27,"You can do it, girl!
Now push!"
28,"What if we were to
entreat the spirits?"
29,"Would you have your
mother wipe your arse?"
30,"<If(PlayerParameter(4))>Want to know how<Else/>Watch your eyes</If>
<If(PlayerParameter(4))>I got up here, do you?<Else/>now, milord.</If>"
31,"Respite cleanses the
mind of impurity."
32,Kweh! Kweh!
33,"What is it, girl?"
34,"Ginger cookies are
<Emphasis>my</Emphasis> sustenance!"
35,"Your words are my
sustenance, Master!"
36,Zzz......
37,"My whole body reeks
of gysahl greens!"
38,"But the forest was
once full with them!"
39,"Sorry, ma'am. We're
fresh out of walnuts."
40,"Gods, me back!"
41,"Caps of red,
good as dead.
Caps of white,
stew tonight!"
42,"One cannot be too
careful when working
the saws."
43,"A little off here,
and a little off here..."
44,"You're not supposed
to be back here, you!"
45,"A fine crop we'll
have this season!"
46,"I can make it,
I tell you! Just watch!"
47,"You're going to fall
in again."
48,"Always heed the
spirits, my children."
49,"But I can't heed
what I can't hear!"
50,♪♪♪
51,"What I wouldn't give
for a cup of mead."
52,"May the Matron bless
these busy bees."
53,"Only a few more
turns of the sun now."
54,"I told you, no
wandering off!"
55,"But, Mother!"
56,"Come one, come all!"
57,"We've the best
prices in the realm!"
58,"We mustn't let this
come between us!"
59,I suppose...
60,"All travelers are
welcome here. Even you."
61,Kweh...
62,"Apologies, milord!
It won't happen again."
63,"You'd best believe
it won't."
64,Damnable Duskwights!
65,"Silence! You will
disturb the rites."
66,"On your feet!
We're not through yet!"
67,"But my legs...
They're like jelly!"
68,"Die, foul Ixal!"
69,"Disobey me again, and it
will be another thousand!"
70,"Bend your knees!
Straighten your back!"
71,Hyah!
72,"Yes, sir!"
73,Nnnghaaa! Grrraaah!
74,"How much longer?
I grow weary of this."
75,"Foul spirits, begone!"
76,"Well, I see nothing
wrong with her."
77,"She's got the blight,
I tell ye!"
78,"Yes, I believe we'll
be needing more salt."
79,"To slice or to pierce?
I cannot decide!"
80,"Are you two
even listening?"
81,<groan>
82,  ...?
83,My apologies...
84,"Sun's sweet smile
and wind's cool breath,
both of these
I send thee...♪"
85,♪♪♪
86,What to plant next...
87,"This season, I
switched formulas!"
88,"I knew the leaves
looked greener!"
89,"Beta works far
better than alpha!"
90,"The foreman still
watching? Damn..."
91,"I think you've had
enough rest today."
92,"Just another
half bell, I swear!"
93,What do you think!?
94,"What did you go
and cuff me for?"
95,91
96,"Such is the will
of the forest."
97,But that's not right!
98,"The girl's only seen
twelve summers!"
99,"Please... You must
do something..."
100,"The forest watches
over us all."
101,"Would the spirits
bless me business?"
102,We must make haste!
103,"I'm going nowhere
until I've had a drink."
104,But we just arrived!
105,  ...
106,"The beasts grow
bolder by the day!"
107,"What say the spirits
of the harvest?"
108,"Why has Gridania
forsaken us?"
109,"May your wounds
be healed."
110,"Thank ye, milady!"
111,"Why, that's terrible!"
112,"Coeurls came and
ate all our chicks!"
113,"Ten onzes of flour,
four dragon peppers..."
114,"As are your
eyes, my love."
115,"The mead here
is simply divine."
116,"We can still be
friends, can't we?"
117,I...er...suppose...so...
118,<yawn>
119,"I say banish each
and every outsider!"
120,"The Seedseers say
we must accept them."
121,Leave me be...
122,"Ain't a lady allowed
a moment's rest?"
123,"All in good time,
my friends."
124,"We met our end of
the bargain!"
125,"You have your gil.
Now where is it?"
126,"Fish! Have you
lost your wits!?"
127,"Think of all the fish
this could carry!"
128,"Wench! We need
another round!"
129,"I could fit my
whole family in that!"
130,"What we <Emphasis>need</Emphasis>
is another wench."
131,La lala la la!♪
132,"Won't no one et ye
on <Emphasis>my</Emphasis> watch, dear."
133,"Must...be...careful...
not...to... Ouch!"
134,"The beans! I cannot rid
my clothes of this stench!"
135,"Everything seems
in order today."
136,"What beautiful
craftsmanship!"
