key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,Start Game,,
2,Configuration,,
3,Opening Movie,,
4,Credits,,
5,,,
6,"Calibrate controller?
※Settings can be changed at any time via the System Configuration menu.",,
7,Yes,,
8,No,,
9,,,
10,Service Account,,
11,Select a service account.,,
12,Version: <Highlight>StringParameter(1)</Highlight> (<Highlight>StringParameter(2)</Highlight>),,
13,"<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Warning!<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Screen resolution is set to Low (480p/i 576p/i)
The recommended setting is High (720p).",,
14,,,
15,OK,,
16,Cancel,,
17,Select the features you wish to change from the list on the right. Those marked with ??? have yet to be confirmed.,,
18,Select the features you wish to change from the list on the right and press OK to reflect the changes.,,
19,Select the features you wish to change from the list on the right. Those marked with ??? have yet to be confirmed.,,
20,Delete Character,,
21,"Delete <Highlight>StringParameter(1)</Highlight>?
Please be aware that if you delete this character, you will lose all items, gil, and hired retainers in their possession.
If this character is master of a free company for which there is no eligible successor, the free company will be automatically disbanded, causing company estates and all items within the company chest to be deleted as well.",,
22,I understand and wish to delete this character.,,
23,Change Name,,
24,Change Retainer Name,,
25,Log in with <Highlight>StringParameter(1)</Highlight>?,,
26,A name change is required to log in with this character.,,
27,"<If(GreaterThan(IntegerParameter(1),0))>Please change your character's name after retrieving character data.<Else/>A name change is required to log in with this character.</If>",,
28,Change this character's name to <Highlight>StringParameter(1)</Highlight>?,,
29,Change this retainer's name to <Highlight>StringParameter(1)</Highlight>?,,
30,New Character,,
31,Quit character creation and lose all progress?,,
32,Begin a new game with this character?,,
33,Create a new character?,,
34,You cannot create any more characters. To create a new character you must first delete an existing one.,,
35,<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>,,
36,Location,,
37,<Switch(IntegerParameter(2))><Case(1)>1st</Case><Case(2)>2nd</Case><Case(3)>3rd</Case><Case(4)>4th</Case><Case(5)>5th</Case><Case(6)>6th</Case><Case(7)>7th</Case><Case(8)>8th</Case><Case(9)>9th</Case><Case(10)>10th</Case><Case(11)>11th</Case><Case(12)>12th</Case><Case(13)>13th</Case><Case(14)>14th</Case><Case(15)>15th</Case><Case(16)>16th</Case><Case(17)>17th</Case><Case(18)>18th</Case><Case(19)>19th</Case><Case(20)>20th</Case><Case(21)>21st</Case><Case(22)>22nd</Case><Case(23)>23rd</Case><Case(24)>24th</Case><Case(25)>25th</Case><Case(26)>26th</Case><Case(27)>27th</Case><Case(28)>28th</Case><Case(29)>29th</Case><Case(30)>30th</Case><Case(31)>31st</Case><Case(32)>32nd</Case></Switch> Sun of the <Switch(IntegerParameter(1))><Case(1)>1st Astral</Case><Case(2)>1st Umbral</Case><Case(3)>2nd Astral</Case><Case(4)>2nd Umbral</Case><Case(5)>3rd Astral</Case><Case(6)>3rd Umbral</Case><Case(7)>4th Astral</Case><Case(8)>4th Umbral</Case><Case(9)>5th Astral</Case><Case(10)>5th Umbral</Case><Case(11)>6th Astral</Case><Case(12)>6th Umbral</Case></Switch> Moon,,
38,（<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>）,,
39,,,
40,First Astral Moon,,
41,First Umbral Moon,,
42,Second Astral Moon,,
43,Second Umbral Moon,,
44,Third Astral Moon,,
45,Third Umbral Moon,,
46,Fourth Astral Moon,,
47,Fourth Umbral Moon,,
48,Fifth Astral Moon,,
49,Fifth Umbral Moon,,
50,Sixth Astral Moon,,
51,Sixth Umbral Moon,,
52,,,
53,<Switch(IntegerParameter(3))><Case(1)>1st</Case><Case(2)>2nd</Case><Case(3)>3rd</Case><Case(4)>4th</Case><Case(5)>5th</Case><Case(6)>6th</Case><Case(7)>7th</Case><Case(8)>8th</Case><Case(9)>9th</Case><Case(10)>10th</Case><Case(11)>11th</Case><Case(12)>12th</Case><Case(13)>13th</Case><Case(14)>14th</Case><Case(15)>15th</Case><Case(16)>16th</Case><Case(17)>17th</Case><Case(18)>18th</Case><Case(19)>19th</Case><Case(20)>20th</Case><Case(21)>21st</Case><Case(22)>22nd</Case><Case(23)>23rd</Case><Case(24)>24th</Case><Case(25)>25th</Case><Case(26)>26th</Case><Case(27)>27th</Case><Case(28)>28th</Case><Case(29)>29th</Case><Case(30)>30th</Case><Case(31)>31st</Case><Case(32)>32nd</Case></Switch> Sun of the <Switch(IntegerParameter(2))><Case(1)>1st Astral</Case><Case(2)>1st Umbral</Case><Case(3)>2nd Astral</Case><Case(4)>2nd Umbral</Case><Case(5)>3rd Astral</Case><Case(6)>3rd Umbral</Case><Case(7)>4th Astral</Case><Case(8)>4th Umbral</Case><Case(9)>5th Astral</Case><Case(10)>5th Umbral</Case><Case(11)>6th Astral</Case><Case(12)>6th Umbral</Case></Switch> Moon,,
54,,,
55,,,
56,<Highlight>StringParameter(1)</Highlight><Switch(IntegerParameter(2))><Case(1)></Case><Case(2)> (Legacy)</Case><Case(3)> (NA)</Case><Case(4)> (NA Legacy)</Case><Case(5)> (EU)</Case><Case(6)> (EU Legacy)</Case><Case(7)> (OC)</Case><Case(8)> (OC Legacy)</Case><Case(9)></Case></Switch>,,
57,Obtaining the World list...,,
58,Unable to obtain the World list.,,
59,"Obtain updated World information. This feature can only be used once every <If(IntegerParameter(1))><If(LessThanOrEqualTo(IntegerParameter(1),10))><Switch(IntegerParameter(1))><Case(1)>one</Case><Case(2)>two</Case><Case(3)>three</Case><Case(4)>four</Case><Case(5)>five</Case><Case(6)>six</Case><Case(7)>seven</Case><Case(8)>eight</Case><Case(9)>nine</Case><Case(10)>ten</Case></Switch><Else/><Value>IntegerParameter(1)</Value></If><Else/><Value>IntegerParameter(1)</Value></If> <If(Equal(IntegerParameter(1),1))>minute<Else/>minutes</If>.",,
60,"This account has no available character slots. To create a new character, you must first delete an existing one by selecting the “Delete” option from the subcommand menu.",,
61,"You cannot create any more characters. To create a new character, you must first delete an existing one. This can be done by selecting the “Delete” option from the subcommand menu.",,
62,You cannot create any more characters on this World. Please select another.,,
63,"This World is not accepting any more new characters. You may either wait for the restriction to be lifted, or you may select another World.",,
64,You cannot select this character with your current account.,,
65,"You are granted one opportunity to edit your character's race, tribe, gender, appearance, and name.",,
66,"<If(GreaterThan(IntegerParameter(1),0))>Please change your retainer's name after retrieving your character's data.<Else/>To log in with this character you must first change your retainer's name.</If>",,
67,"If you wish, you can edit your character's race, sex, and appearance.",,
68,"To log in with this character you must first install <Sheet(ExVersion,IntegerParameter(1),0)/>.",,
69,"To edit this character's race, sex, or appearance you must first install <Sheet(ExVersion,IntegerParameter(1),0)/>.",,
70,"To log in with this character from version 1.0, you must first specify the Disciple of War or Magic class you wish to begin the game as.",,
71,OK,,
72,Cancel,,
73,"You have elected to begin FINAL FANTASY XIV: A Realm Reborn as <If(Equal(IntegerParameter(1),10))>an <Sheet(ClassJob,IntegerParameter(1),0)/><Else/><If(Equal(IntegerParameter(1),14))>an <Sheet(ClassJob,IntegerParameter(1),0)/><Else/><If(Equal(IntegerParameter(1),5))>an <Sheet(ClassJob,IntegerParameter(1),0)/><Else/><If(Equal(IntegerParameter(1),26))>an <Sheet(ClassJob,IntegerParameter(1),0)/><Else/><If(Equal(IntegerParameter(1),33))>an <Sheet(ClassJob,IntegerParameter(1),0)/><Else/>a <Sheet(ClassJob,IntegerParameter(1),0)/></If></If></If></If></If>. You will start your new adventure in <Sheet(Town,IntegerParameter(2),0)/>.",,
74,OK,,
75,Cancel,,
76,"To log in with this character from version 1.0, you must first specify the Disciple of War or Magic class you wish to begin the game as. You are also granted one opportunity to edit your character's race, tribe, gender, appearance, and name.",,
77,Edit now.,,
78,Edit later.,,
