key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,"El Fervor de la Batalla","Aumenta la EXP ganada mediante el combate en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
2,"Tierra y Agua","Aumenta la EXP ganada mediante la recolección en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
3,"Mano Amiga","Aumenta la EXP ganada mediante la artesanía en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
4,"El Mejor Amigo del Hombre","Aumenta la EXP ganada por tus compañeros en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
5,"Aumento de Marcas","Aumenta las Marcas del Lobo ganadas en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
6,"Edulcorante de Sellos","Aumento los sellos de Grandes Compañías obtenidos en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
7,"Un Mundo Feliz","Aumenta los atributos de todos los Adeptos de la Guerra y la Magia por debajo de nivel 25 en un 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
8,"Vivir de la Tierra","Aumenta el atributo <hex:024804F201FA03><hex:024904F201FB03>Recolección<hex:0249020103><hex:0248020103> en 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
9,"Lo que Ves","Aumenta el atributo <hex:024804F201FA03><hex:024904F201FB03>Percepción<hex:0249020103><hex:0248020103> en 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
10,"Comer de la Mano","Aumenta el atributo <hex:024804F201FA03><hex:024904F201FB03>Artesanía<hex:0249020103><hex:0248020103> en 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
11,"Bajo Control","Aumenta el atributo <hex:024804F201FA03><hex:024904F201FB03>Control<hex:0249020103><hex:0248020103> en 5.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
12,"Eso que Nos Une","Aumenta la velocidad de vínculo espiritual.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
13,"Carne e Hidromiel","Aumenta la duración de los efectos de la comida en cinco minutos.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
14,"Cuidado Adecuado","Reduce el desgaste de equipo en un 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
15,"Pies Ligeros","Aumenta la duración de la habilidad <hex:024804F201FA03><hex:024904F201FB03>Esprint<hex:0249020103><hex:0248020103> en grandes asentamientos en un 25%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
16,"Tarifas Reducidas","Reduce el coste de la teletransportación en un 20%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
17,"Jackpot","Aumenta la cantidad de MGP ganados en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,"El Fervor de la Batalla II","Aumenta la EXP ganada mediante el combate en un 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
32,"Tierra y Agua II","Aumenta la EXP ganada mediante la recolección en un 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
33,"Mano Amiga II","Aumenta la EXP ganada mediante la artesanía en un 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
34,"El Mejor Amigo del Hombre II","Aumenta la EXP ganada por tus compañeros en un 15%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
35,"Aumento de Marcas II","Aumenta las Marcas del Lobo ganadas en un 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
36,"Edulcorante de Sellos II","Aumenta los sellos de Grandes Compañías obtenidos en un 10%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
37,"Un Mundo Feliz II","Aumenta los atributos de todos los Adeptos de la Guerra o Magia por debajo del nivel 49 en un 5%.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Duración:<hex:0249020103><hex:0248020103> 24h"
