key,2,3,4
#,LookupTable,Text,GroupTitle
offset,8,0,4
int32,str,str,str
100,@,【Languages】,Languages.
101,,"Por favor, usa la función de auto traducción.",-
102,,Japanese language,-
103,,English language,-
104,,French language,-
105,,German language,-
106,,Can you speak Japanese?,-
107,,"¿Puedes hablar en Inglés?",-
108,,"¿Puedes hablar en Francés?",-
109,,Can you speak German?,-
110,,I don't speak any English.,-
111,,I don't speak any Japanese.,-
112,,I don't speak any French.,-
113,,I don't speak any German.,-
114,,Please listen.,-
115,,Can you hear me?,-
116,,I can speak a little.,-
117,,I can understand a little.,-
118,,Please use simple words.,-
119,,Please do not abbreviate your words.,-
120,,I need some time to put together my answer.,-
121,,What is your native language?,-
200,@,【Greetings】,Greetings.
201,,"Encantado de conocerte.",-
202,,"¡Buenos días!",-
203,,"¡Hola!",-
204,,Good evening!,-
205,,Good night!,-
206,,Good-bye.,-
207,,I had fun today!,-
208,,See you again!,-
209,,Let's play together again sometime!,-
210,,I'm back!,-
211,,Welcome back.,-
212,,Congratulations!,-
213,,Good job!,-
214,,Good luck!,-
215,,All right!,-
216,,Thank you.,-
217,,You're welcome.,-
218,,Take care.,-
219,,I'm sorry.,-
220,,Please forgive me.,-
221,,That's too bad.,-
222,,Excuse me...,-
223,,Have a safe journey.,-
224,,This is my first time here.,-
225,,I'm looking forward to it!,-
226,,Good game!,-
227,,Let's do it!,-
228,,Thank you. I must now take my leave.,-
229,,Let's have some fun!,-
230,,I'll do my best!,-
231,,Let's give it our best shot!,-
232,,This should be fun!,-
233,,"If we stay cool, everything will be fine!",-
300,@,【Questions】,Questions.
301,,Who?,-
302,,Which?,-
303,,How?,-
304,,What?,-
305,,When?,-
306,,How many?,-
307,,Where?,-
308,,Why?,-
309,,How come?,-
310,,Where shall we go?,-
311,,Can you do it?,-
312,,Do you need any help?,-
313,,Which levequest shall we do?,-
314,,Which duties can you do?,-
315,,Do you have it?,-
316,,What weapons can you use?,-
317,,What other classes can you use?,-
318,,What other roles can you cover?,-
319,,Do you have it set?,-
320,,What's the battle plan?,-
321,,Can I add you to my friend list?,-
322,,Shall we take a break?,-
323,,Do you want me to repair it?,-
324,,Can you repair it for me?,-
325,,Do you want me to meld materia to it?,-
326,,Can you meld materia for me?,-
327,,Would you join my party?,-
328,,Can I join your party?,-
329,,Should we disband?,-
330,,Do you want to join my linkshell?,-
331,,Can I join your linkshell?,-
332,,Do you want to join my free company?,-
333,,Can I join your free company?,-
334,,What are you doing?,-
335,,How about a game of Triple Triad?,-
336,,Can we change the rules?,-
337,,How about joining a Triple Triad tournament?,-
338,,Do you have enough MP?,-
339,,Is there anything you don't understand?,-
340,,Did you see it?,-
341,,How should we handle this?,-
342,,What's our strategy?,-
343,,Do you want to ride together?,-
344,,Can I ride with you?,-
400,@,【Answers】,Answers.
401,,I don't understand.,-
402,,No thanks.,-
403,,"Yes, please.",-
404,,If you would be so kind.,-
405,,Understood.,-
406,,I'm sorry. I'm busy now.,-
407,,I'm playing solo right now.,-
408,,I don't know how to answer that question.,-
409,,I see.,-
410,,"Thanks for the offer, but I'll have to pass.",-
411,,That's interesting.,-
412,,Um...,-
413,,Huh!?,-
414,,Really?,-
415,,Hmmm.,-
416,,I have to go soon.,-
417,,I'd like another match.,-
418,,Let's call it a day.,-
419,,I'd like to take a break.,-
420,,Probably.,-
500,@,【Reasons】,Reasons.
501,,Casting spell.,-
502,,Time for work!,-
503,,I have plans.,-
504,,I'm sleepy.,-
505,,I'm tired.,-
506,,"Have stuff to do, gotta go!",-
507,,I don't feel well.,-
508,,I'm not up for it.,-
509,,I'm interested.,-
510,,I'm bound by duty.,-
511,,Fighting right now!,-
512,,I want to make money.,-
513,,I don't remember.,-
514,,I don't know.,-
515,,Just used it.,-
516,,I want experience points.,-
517,,Oops!,-
518,,I already have an invite.,-
519,,I already have one.,-
520,,No longer recruiting.,-
521,,I'm getting ready now.,-
522,,My hands are full.,-
523,,We're chewing the fat.,-
524,,I seem to have misplaced my keyboard.,-
525,,I'm checking things out.,-
600,@,【Trade】,Trade.
601,,Can I have it?,-
602,,Can you do it for me?,-
603,,Lower the price?,-
604,,Buy?,-
605,,Sell?,-
606,,Trade?,-
607,,Do you need it?,-
608,,Can you make it?,-
609,,Do you have it?,-
610,,What materials are needed?,-
611,,I don't have any money.,-
612,,I don't have the item.,-
613,,I don't have anything to give you.,-
614,,You can have this.,-
615,,Please.,-
616,,Reward:,-
617,,Price:,-
618,,delivery,-
700,@,【Organize】,Organize.
701,,Looking for members.,-
702,,Gather together.,-
703,,Team up?,-
704,,Are you alone?,-
705,,Any vacancies?,-
706,,Please invite me.,-
707,,Please let me join.,-
708,,Who is the leader?,-
709,,Just for a short time is fine.,-
710,,Our party's full.,-
711,,Please assist.,-
712,,Disbanding party.,-
713,,Taking a break.,-
714,,Looking for party.,-
715,,light party,-
716,,full party,-
717,,I'm inexperienced.,-
718,,Should we find some replacements?,-
800,@,【Tactics】,Tactics.
801,,Please follow.,-
802,,I'll follow you.,-
803,,Please check it.,-
804,,Found it!,-
805,,Full attack!,-
806,,Pull back.,-
807,,Watch your aggro!,-
808,,Defeat this one first!,-
809,,Please don't attack.,-
810,,Hold the target!,-
811,,Please deactivate it.,-
812,,Heal!,-
813,,Cast it!,-
814,,Run away!,-
815,,Help me out!,-
816,,Stop!,-
817,,Standing by.,-
818,,None left.,-
819,,Don't have it.,-
820,,Please use it sparingly.,-
821,,I'll use it sparingly.,-
822,,My gear is in poor condition.,-
823,,Ready!,-
824,,Please set enemy marks.,-
825,,Please use it.,-
826,,Let's rest for a while.,-
827,,Pulling enemy over.,-
828,,Drawing enemy over.,-
829,,"Wait, please.",-
830,,Let's meet there.,-
831,,Let's move.,-
832,,Stay there.,-
833,,On my way.,-
834,,Will be right back.,-
835,,"Roll for loot, please.",-
836,,Weakness:,-
837,,Beware of,-
838,,Recommended:,-
839,,Kill Order:,-
840,,I want,-
841,,Please draw enmity.,-
842,,The enemy is near!,-
843,,Don't worry about it.,-
844,,Please ignore that.,-
845,,Switch.,-
846,,Change with me.,-
847,,I'll deal the first blow.,-
848,,Let's take it slow.,-
849,,Do it!,-
850,,Direction:,-
851,,Avoid the attack!,-
852,,Turn away.,-
853,,Get hit.,-
854,,Pull the enemy away.,-
855,,Move away.,-
856,,Come closer.,-
857,,Carry it.,-
859,,Cut the link!,-
860,,Keep it busy.,-
861,,Take them down at the same time!,-
862,,Hide!,-
863,,Mounting machina!,-
864,,Mount the machina!,-
900,@,【Roles】,Roles.
901,,leader,-
902,,master,-
903,,Disciples of War,-
904,,Disciples of Magic,-
905,,Disciples of the Land,-
906,,Disciples of the Hand,-
907,,tank,-
908,,melee,-
909,,ranged,-
910,,healer,-
911,,buffer,-
912,,caster,-
913,,DPS,-
950,@,【Locations】,Locations.
951,,position,-
952,,north,-
953,,south,-
954,,east,-
955,,west,-
956,,up,-
957,,down,-
958,,right,-
959,,left,-
960,,front side,-
961,,back,-
962,,side,-
963,,front,-
964,,middle,-
965,,flank,-
966,,inside,-
967,,outside,-
968,,this way,-
969,,over there,-
970,,that way,-
971,,closer,-
972,,farther,-
973,,entrance,-
974,,exit,-
975,,rear,-
976,,one o'clock,-
977,,two o'clock,-
978,,three o'clock,-
979,,four o'clock,-
980,,five o'clock,-
981,,six o'clock,-
982,,seven o'clock,-
983,,eight o'clock,-
984,,nine o'clock,-
985,,ten o'clock,-
986,,eleven o'clock,-
987,,twelve o'clock,-
1000,@,【Time】,Time.
1001,,day before yesterday,-
1002,,yesterday,-
1003,,today,-
1004,,tomorrow,-
1005,,day after tomorrow,-
1006,,last week,-
1007,,this week,-
1008,,next week,-
1009,,a.m.,-
1010,,p.m.,-
1011,,morning,-
1012,,afternoon,-
1013,,night,-
1014,,day of the week,-
1015,,Sunday,-
1016,,Monday,-
1017,,Tuesday,-
1018,,Wednesday,-
1019,,Thursday,-
1020,,Friday,-
