key,0,2
#,Singular,Plural
offset,0,4
int32,str,str
0,,
1,"Depósito de Minerales",mineral deposits
2,"Afloramiento Rocoso",rocky outcrops
3,"Árbol Maduro",mature trees
4,"Parche de Vegetación Exuberante",lush vegetation patch
5,"Depósito de Minerales Intacto",unspoiled mineral deposits
6,"Afloramiento Rocoso Intacto",unspoiled rocky outcrops
7,"Árbol Maduro Intacto",unspoiled mature trees
8,"Parche de Vegetación Exuberante Intacto",unspoiled lush vegetation patches
9,"Depósito de Minerales Efímero",ephemeral mineral deposits
10,"Afloramiento Rocos Efímero",ephemeral rocky outcrops
11,"Árbol Maduro Efímero",ephemeral mature trees
12,"Parche de Vegetación Exuberante Efímero",ephemeral lush vegetation patches
13,"Depósito de Minerales Legendario",legendary mineral deposits
14,"Afloramiento Rocoso Legendario",legendary rocky outcrops
15,"Árbol Maduro Legendario",legendary mature trees
16,"Parche de Vegetación Exuberante Legendario",legendary lush vegetation patches
17,"Depósito de Minerales Oculto",concealed mineral deposits
18,"Afloramiento Rocoso Oculto",concealed rocky outcrops
19,"Árbol Maduro Oculto",concealed mature trees
20,"Parche de Vegetación Exuberante Oculto",concealed lush vegetation patches
21,"Aguas Rebosantes",teeming waters
22,"Sombras Nadando",swimming shadows
23,"Depósito de Minerales Nublado",clouded mineral deposits
24,"Afloramiento Rocoso Nublado",clouded rocky outcrops
25,"Árbol Maduro Nublado",clouded mature trees
26,"Parche de Vegetación Exuberante Nublado",clouded lush vegetation patches
