key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,Comenzar Juego,,
2,"Configuración",,
3,"Cinemática Introductoria",,
4,"Créditos",,
5,,,
6,"¿Calibrar el controlador?<hex:02100103>※Las opciones pueden ser cambiadas en cualquier momento desde el menú de Configuración.",,
7,Sí,,
8,No,,
9,,,
10,Cuenta de Servicio,,
11,Selecciona una Cuenta de Servicio,,
12,Version: <hex:022903EA0203> (<hex:022903EA0303>),,
13,"<hex:024804F201F403><hex:024904F201F503>¡Aviso!<hex:0249020103><hex:0248020103> La resolución de la pantalla está en Bajo (480p/i 576p/i)<hex:02100103>La resolución recomendada es Alta (720p).",,
14,,,
15,OK,,
16,Cancelar,,
17,"Selecciona las características que deseas cambiar en el listado de la derecha. Aquellas marcadas con ??? aun deben ser confirmadas.",,
18,"Selecciona las características que deseas cambiar en el listado de la derecha y presiona OK para que los cambios se vean reflejados.",,
19,"Selecciona las características que deseas cambiar en el listado de la derecha. Aquellas marcadas con ??? aun deben ser confirmadas.",, 
20,"Eliminar Personaje",,
21,"¿Eliminar el personaje <hex:022903EA0203>?<hex:02100103>Por favor, se consciente de que si eliminas el personaje perderás todos los objetos, gil y custodios en su posesión.<hex:02100103>Si este personaje es líder de una Compañía Libre para la que no hay un sucesor, dicha compañía será disuelta y todos sus bienes en el alijo de la compañía e inmuebles serán eliminados también.",,
22,"Lo entiendo y deseo eliminar a este personaje.",,
23,Cambiar Nombre,,
24,Cambiar Nombre de Custodio,,
25,"¿Deseas conectar con <hex:022903EA0203>?",,
26,"Se requiere un cambio de nombre para conectar con este personaje.",,
27,"Se requiere un cambio de nombre para conectar con este personaje.",,
28,"¿Cambiar el nombre de este personaje a <hex:022903EA0203>?",,
29,"¿Cambiar el nombre de este custodio a <hex:022903EA0203>?",,
30,"Nuevo Personaje",,
31,"¿Abandonar la creación del personaje y perder todo el progreso?",,
32,"¿Comenzar una nueva aventura con este personaje?",,
33,"¿Quieres crear un nuevo personaje?",,
34,"No puedes crear mas personajes. Para crear un nuevo personaje deberás eliminar primero uno de los existentes.",,
35,<hex:022003E80203>/<hex:022003E80303>,,
36,Ubicación,,
53,Sol<hex:0209BAE804FF04> 1o<hex:FF04> 2o<hex:FF04> 3o<hex:FF04> 4o<hex:FF04> 5o<hex:FF04> 6o<hex:FF04> 7o<hex:FF04> 8o<hex:FF04> 9o<hex:FF05> 10o<hex:FF05> 11o<hex:FF05> 12o<hex:FF05> 13o<hex:FF05> 14o<hex:FF05> 15o<hex:FF05> 16o<hex:FF05> 17o<hex:FF05> 18o<hex:FF05> 19o<hex:FF05> 20o<hex:FF05> 21o<hex:FF05> 22o<hex:FF05> 23o<hex:FF05> 24o<hex:FF05> 25o<hex:FF05> 26o<hex:FF05> 27o<hex:FF05> 28o<hex:FF05> 29o<hex:FF05> 30o<hex:FF05> 31o<hex:FF05> 32o<hex:03> Luna <hex:020993E803FF0B>1ª Astral<hex:FF0B>1ª Umbral<hex:FF0B>2ª Astral<hex:FF0B>2ª Umbral<hex:FF0B>3ª Astral<hex:FF0B>3ª Umbral<hex:FF0B>4ª Astral<hex:FF0B>4ª Umbral<hex:FF0B>5ª Astral<hex:FF0B>5ª Umbral<hex:FF0B>6ª Astral<hex:FF0B>6ª Umbral<hex:03>,,
38,"（<hex:022003E80203><hex:022003E80303>）",,
39,,,
40,Primera Luna Astral,,
41,Primera Luna Umbral,,
42,Segunda Luna Astral,,
43,Segunda Luna Umbral,,
44,Tercera Luna Astral,,
45,Tercera Luna Umbral,,
46,Cuarta Luna Astral,,
47,Cuarta Luna Umbral,,
48,Quinta Luna Astral,,
49,Quinta Luna Umbral,,
50,Sexta Luna Astral,,
51,Sexta Luna Umbral,,
52,,,
53,"<hex:0209BAE804FF04>1o <hex:FF04>2o <hex:FF04>3o <hex:FF04>4o <hex:FF04>5o <hex:FF04>6o <hex:FF04>7o <hex:FF04>8o <hex:FF04>9o <hex:FF05>10o <hex:FF05>11o <hex:FF05>12o <hex:FF05>13o <hex:FF05>14o <hex:FF05>15o <hex:FF05>16o <hex:FF05>17o <hex:FF05>18o <hex:FF05>19o <hex:FF05>20o <hex:FF05>21o <hex:FF05>22o <hex:FF05>23o <hex:FF05>24o <hex:FF05>25o <hex:FF05>26o <hex:FF05>27o <hex:FF05>28o <hex:FF05>29o <hex:FF05>30o <hex:FF05>31o <hex:FF05>32o <hex:03> / <hex:020993E803FF0B>1ª Astral<hex:FF0B>1ª Umbral<hex:FF0B>2ª Astral<hex:FF0B>2ª Umbral<hex:FF0B>3ª Astral<hex:FF0B>3ª Umbral<hex:FF0B>4ª Astral<hex:FF0B>4ª Umbral<hex:FF0B>5ª Astral<hex:FF0B>5ª Umbral<hex:FF0B>6ª Astral<hex:FF0B>6ª Umbral<hex:03>",,
54,"   Sol                 Luna",,
55,,,
56,<hex:022903EA0203><hex:020943E803FF01><hex:FF09>(LEGACY)<hex:FF01><hex:FF09>(LEGACY)<hex:FF05>(EU)<hex:FF0C>(LEGACY/EU)<hex:FF05>(OC)<hex:FF0C>(LEGACY/OC)<hex:FF01><hex:03>,,
57,"Obteniendo listado de Mundos...",,
58,"Imposible obtener el listado de Mundos.",,
59,"Obtener información actualizada del Mundo. Esta caracaterísticas solo puede ser usada cada <hex:020860E802FF54><hex:020850E2E8020BFF42><hex:02093EE802FF04>un<hex:FF04>dos<hex:FF06>tres<hex:FF05>cuatro<hex:FF05>cinco<hex:FF04>seis<hex:FF06>siete<hex:FF06>ocho<hex:FF05>nueve<hex:FF04>diez<hex:03><hex:FF07><hex:022003E80203><hex:03><hex:FF07><hex:022003E80203><hex:03> <hex:020816E4E80202FF07>minuto<hex:FF08>minutos<hex:03>.",,
60,"Esta cuenta no tiene ranuras de personaje disponibles. Para crear un nuevo personaje debes eliminar uno existente seleccionando la opción Eliminar en el menú de subcomandos.",,
61,"No puedes crear mas personajes. Para crear un nuevo personaje debes eliminar uno existente seleccionando la opción Eliminar en el menú de subcomandos.",,
62,"No puedes crear mas personajes en este Mundo. Selecciona otro.",,
63,"Este Mundo no acepta nuevos personajes. Puedes esperar a que la restricción sea eliminada o seleccionar otro Mundo.",,
64,"No puedes elegir este personaje con tu cuenta actual.",,
65,"Tienes la oportunidad de editar la raza, género, apariencia y nombre de tu personaje.",,
66,"Se requiere un cambio de nombre de Custodio para conectar con este personaje.",,
67,"Si lo deseas, puedes cambiar la raza, género y apariencia de tu personaje.",,
68,"Para conectar con este personaje primero debes instalar <hex:02280FFF0A>ExVersion<hex:E8020103>.",,
69,"Para editar la raza, género o apariencia de este personaje primero debes instalar <hex:02280FFF0A>ExVersion<hex:E8020103>.",,
70,"Para conectar con este personaje de la versión 1.0, primero debes especificar la clase de Adepto de la Guerra o Magia con la que deseas comenzar la aventura.",,
71,OK,,
72,Cancelar,,
73,"Has elegido comenzar FINAL FANTASY XIV: A Realm Reborn como  <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF94> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF74> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF54> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF34> <hex:02280EFF09>ClassJob<hex:E8020103><hex:FF14> <hex:02280EFF09>ClassJob<hex:E8020103><hex:03><hex:03><hex:03><hex:03><hex:03>. Comenzarás tu aventura en <hex:02280AFF05>Town<hex:E8030103>.",,
74,OK,,
75,Cancelar,,
76,"Para conectar con este personaje de la versión 1.0, primero debes especificar la clase de Adepto de la Guerra o Magia con la que deseas comenzar la aventura. Además se te dará la oportunidad de editar la raza, tribu, género, apariencia y nombre del personaje.",,
77,Editar ahora.,,
78,"Editar después.",,
