key,9
#,Name
offset,0
int32,str
10001,Gladiador 01
10002,Gladiador 02
10003,Gladiador 03
10004,Gladiador 04
10005,Gladiador 05
10006,Gladiador 06
10007,Gladiador 07
10008,Gladiador 08
10009,Gladiador 09
10010,Gladiador 10
10011,Gladiador 11
10012,Gladiador 12
10013,Gladiador 13
10014,Gladiador 14
10015,Gladiador 15
10016,Gladiador 16
10017,Gladiador 17
10018,Gladiador 18
10019,Gladiador 19
10020,Gladiador 20
10021,Gladiador 21
10022,Gladiador 22
10023,Gladiador 23
10024,Gladiador 24
10025,Gladiador 25
10026,Gladiador 26
10027,Gladiador 27
10028,Gladiador 28
10029,Gladiador 29
10030,Gladiador 30
10031,Gladiador 31
10032,Gladiador 32
10033,Gladiador 33
10034,Gladiador 34
10035,Gladiador 35
10036,Gladiador 36
10037,Gladiador 37
10038,Gladiador 38
10039,Gladiador 39
10040,Gladiador 40
10041,Gladiador 41
10042,Gladiador 42
10043,Gladiador 43
10044,Gladiador 44
10045,Gladiador 45
10046,Gladiador 46
10047,Gladiador 47
10048,Gladiador 48
10049,Gladiador 49
10050,Gladiador 50
20001,Pugilista 01
20002,Pugilista 02
20003,Pugilista 03
20004,Pugilista 04
20005,Pugilista 05
20006,Pugilista 06
20007,Pugilista 07
20008,Pugilista 08
20009,Pugilista 09
20010,Pugilista 10
20011,Pugilista 11
20012,Pugilista 12
20013,Pugilista 13
20014,Pugilista 14
20015,Pugilista 15
20016,Pugilista 16
20017,Pugilista 17
20018,Pugilista 18
20019,Pugilista 19
20020,Pugilista 20
20021,Pugilista 21
20022,Pugilista 22
20023,Pugilista 23
20024,Pugilista 24
20025,Pugilista 25
20026,Pugilista 26
20027,Pugilista 27
20028,Pugilista 28
20029,Pugilista 29
20030,Pugilista 30
20031,Pugilista 31
20032,Pugilista 32
20033,Pugilista 33
20034,Pugilista 34
20035,Pugilista 35
20036,Pugilista 36
20037,Pugilista 37
20038,Pugilista 38
20039,Pugilista 39
20040,Pugilista 40
20041,Pugilista 41
20042,Pugilista 42
20043,Pugilista 43
20044,Pugilista 44
20045,Pugilista 45
20046,Pugilista 46
20047,Pugilista 47
20048,Pugilista 48
20049,Pugilista 49
20050,Pugilista 50
30001,Merodeador 01
30002,Merodeador 02
30003,Merodeador 03
30004,Merodeador 04
30005,Merodeador 05
30006,Merodeador 06
30007,Merodeador 07
30008,Merodeador 08
30009,Merodeador 09
30010,Merodeador 10
30011,Merodeador 11
30012,Merodeador 12
30013,Merodeador 13
30014,Merodeador 14
30015,Merodeador 15
30016,Merodeador 16
30017,Merodeador 17
30018,Merodeador 18
30019,Merodeador 19
30020,Merodeador 20
30021,Merodeador 21
30022,Merodeador 22
30023,Merodeador 23
30024,Merodeador 24
30025,Merodeador 25
30026,Merodeador 26
30027,Merodeador 27
30028,Merodeador 28
30029,Merodeador 29
30030,Merodeador 30
30031,Merodeador 31
30032,Merodeador 32
30033,Merodeador 33
30034,Merodeador 34
30035,Merodeador 35
30036,Merodeador 36
30037,Merodeador 37
30038,Merodeador 38
30039,Merodeador 39
30040,Merodeador 40
30041,Merodeador 41
30042,Merodeador 42
30043,Merodeador 43
30044,Merodeador 44
30045,Merodeador 45
30046,Merodeador 46
30047,Merodeador 47
30048,Merodeador 48
30049,Merodeador 49
30050,Merodeador 50
40001,Lancero 01
40002,Lancero 02
40003,Lancero 03
40004,Lancero 04
40005,Lancero 05
40006,Lancero 06
40007,Lancero 07
40008,Lancero 08
40009,Lancero 09
40010,Lancero 10
40011,Lancero 11
40012,Lancero 12
40013,Lancero 13
40014,Lancero 14
40015,Lancero 15
40016,Lancero 16
40017,Lancero 17
40018,Lancero 18
40019,Lancero 19
40020,Lancero 20
40021,Lancero 21
40022,Lancero 22
40023,Lancero 23
40024,Lancero 24
40025,Lancero 25
40026,Lancero 26
40027,Lancero 27
40028,Lancero 28
40029,Lancero 29
40030,Lancero 30
40031,Lancero 31
40032,Lancero 32
40033,Lancero 33
40034,Lancero 34
40035,Lancero 35
40036,Lancero 36
40037,Lancero 37
40038,Lancero 38
40039,Lancero 39
40040,Lancero 40
40041,Lancero 41
40042,Lancero 42
40043,Lancero 43
40044,Lancero 44
40045,Lancero 45
40046,Lancero 46
40047,Lancero 47
40048,Lancero 48
40049,Lancero 49
40050,Lancero 50
50001,Arquero 01
50002,Arquero 02
50003,Arquero 03
50004,Arquero 04
50005,Arquero 05
50006,Arquero 06
50007,Arquero 07
50008,Arquero 08
50009,Arquero 09
50010,Arquero 10
50011,Arquero 11
50012,Arquero 12
50013,Arquero 13
50014,Arquero 14
50015,Arquero 15
50016,Arquero 16
50017,Arquero 17
50018,Arquero 18
50019,Arquero 19
50020,Arquero 20
50021,Arquero 21
50022,Arquero 22
50023,Arquero 23
50024,Arquero 24
50025,Arquero 25
50026,Arquero 26
50027,Arquero 27
50028,Arquero 28
50029,Arquero 29
50030,Arquero 30
50031,Arquero 31
50032,Arquero 32
50033,Arquero 33
50034,Arquero 34
