key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_AETHERYTE_MAINMENU_TITLE,"<hex:02081BE905FF0B>Bienvenida<hex:FF0B>Bienvenido<hex:03> a <hex:02280FFF0A>PlaceName<hex:E8020103>."
1,TEXT_AETHERYTE_TOWN_WARP,<hex:0212024603> Aethernet.
2,TEXT_AETHERYTE_HOUSING_WARP,<hex:0212024603> Aethernet del Distrito Residencial.
3,TEXT_AETHERYTE_MENU_WKT,"<hex:0212024603> Visitar otro Mundo (Servidor)."
4,TEXT_AETHERYTE_REGISTER_HOME_POINT_CHECKED,<hex:0212024503> Marcar como Punto de Retorno.
5,TEXT_AETHERYTE_REGISTER_HOME_POINT,<hex:0212024603> Marcar como Punto de Retorno.
6,TEXT_AETHERYTE_REGISTER_FAVORITE_CHECKED,<hex:0212024503> Registrar como Destino Favorito.
7,TEXT_AETHERYTE_REGISTER_FAVORITE,<hex:0212024603> Registrar como Destino Favorito.
8,TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE_CHECKED,<hex:020811E968FF06><hex:0212024403><hex:FF06><hex:0212027903><hex:03> Registrar Ubicación de Viaje Gratis con OTP.
9,TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE,<hex:0212024603> Registrar Ubicación de Viaje Gratis con OTP.
10,TEXT_AETHERYTE_REGISTER_PSPLUS_FAVORITE_CHECKED,<hex:020833E969FF17><hex:020813E4E94F64FF06><hex:0212027C03><hex:FF06><hex:0212027A03><hex:03><hex:FF17><hex:020813E4E94F64FF06><hex:0212024003><hex:FF06><hex:0212027B03><hex:03><hex:03> Register <hex:020810E4E94F64FF08>PS Plus<hex:FF01><hex:03> Free Destination.
11,TEXT_AETHERYTE_REGISTER_PSPLUS_FAVORITE,<hex:020813E4E94F64FF06><hex:0212027C03><hex:FF06><hex:0212027A03><hex:03> Register <hex:020810E4E94F64FF08>PS Plus<hex:FF01><hex:03> Free Destination.
12,TEXT_AETHERYTE_MOVE_INSTANCE,<hex:0212024603> Viajar entre Áreas Instanciadas.
13,TEXT_AETHERYTE_MENU_CANCEL,<hex:0212024603> Cancelar.
14,TEXT_AETHERYTE_AETHERNET_MENU_TITLE,Selecciona un destino.<hex:02100103>Ubicación Actual: <hex:022903EA0203>
15,TEXT_AETHERYTE_AETHERNET_MENU_TITLE_NONE_MESSAGE,<hex:02100103><hex:02100103>No hay otros Fragmentos de Aethernet disponibles.<hex:02100103><hex:02100103>
16,TEXT_AETHERYTE_AETHERNET_DEST_NAME,<hex:02280FFF0A>PlaceName<hex:E8020103>.
17,TEXT_AETHERYTE_AETHERNET_MENU_CANCEL,Salir.
18,TEXT_AETHERYTE_MOVE_INSTANCE_MENU_CANCEL,<hex:02280DFF06>Addon<hex:F6018FC90103>
19,TEXT_AETHERYTE_FIRST_OPEN_01,"Ahora tienes acceso a la Aethernet."
20,TEXT_AETHERYTE_FIRST_OPEN_02,"Podrás viajar a través de la ciudad simplemente poniendo tu mano sobre los Fragmentos de Aethernet."
21,TEXT_AETHERYTE_FULL_OPEN_FST,"Te has vinculado con con todos los Fragmentos de Aethernet de Gridania. La Puerta del Mapache Azul, la Puerta de la Sierpe Amarilla, y la Zona de Aterrizaje de Dirigibles serán accesibles como destino en la Aethernet."
22,TEXT_AETHERYTE_FULL_OPEN_FST_WITH_WHITE_WOLF_GATE,"Te has vinculado con con todos los Fragmentos de Aethernet de Gridania. La Puerta del Mapache Azul, la Puerta de la Sierpe Amarilla, y la Zona de Aterrizaje de Dirigibles serán accesibles como destino en la Aethernet."
23,TEXT_AETHERYTE_FULL_OPEN_SEA,"Te has vinculado con con todos los Fragmentos de Aethernet de Limsa Lominsa. La Puerta del Céfiro, la Puerta de la Tempestad y la Zona de Aterrizaje de Dirigibles serán accesibles como destino en la Aethernet."
24,TEXT_AETHERYTE_FULL_OPEN_WIL,"Te has vinculado con con todos los Fragmentos de Aethernet de Ul'dah. La Puerta de Nald, La Puerta de Thal, La Puerta de la Sultana y la Zona de Aterrizaje de Dirigibles serán accesibles como destino en la Aethernet."
25,TEXT_AETHERYTE_FULL_OPEN_GOLDSAUCER,"Te has vinculado con con todos los Fragmentos de Aethernet del Manderville Gold Saucer."
26,TEXT_AETHERYTE_FULL_OPEN_TOWN_ROC,"Te has vinculado con con todos los Fragmentos de Aethernet de Ishgard. Las Puertas del Juicio serán accesibles como destino en la Aethernet."
27,TEXT_AETHERYTE_FULL_OPEN_TOWN_IDYLLSHIRE,"Te has vinculado con con todos los Fragmentos de Aethernet de Idyllshire. La Puerta del Epílogo será accesible como destino en la Aethernet."
28,TEXT_AETHERYTE_FULL_OPEN_TOWN_IDYLLSHIRE_WITH_QUESTCOMP,"Te has vinculado con con todos los Fragmentos de Aethernet de Idyllshire. La Puerta del Epílogo será accesible como destino en la Aethernet."
29,TEXT_AETHERYTE_FULL_OPEN_TOWN_KUGANE,"Te has vinculado con con todos los Fragmentos de Aethernet de Kugane. La Zona de Aterrizaje de Dirigibles será accesible como destino en la Aethernet."
30,TEXT_AETHERYTE_FULL_OPEN_TOWN_KUGANE_WITH_QUESTCOMP,"Te has vinculado con con todos los Fragmentos de Aethernet de Kugane. El Precio Rubí y la Zona de Aterrizaje de Dirigibles serán accessibles como destino en la Aethernet."
31,TEXT_AETHERYTE_FULL_OPEN_TOWN_RHALGRS_REACH,"Te has vinculado con con todos los Fragmentos de Aethernet de Rhalgr's Reach. La Zona Fronteriza de Gyr Abania será accesible como destino en la Aethernet."
32,TEXT_AETHERYTE_FULL_OPEN_TOWN_RHALGRS_REACH_WITH_QUESTCOMP,"Te has vinculado con con todos los Fragmentos de Aethernet de Rhalgr's Reach. La Puerta de la Zona Fronteriza de Gyr Abania y la Puerta de la Zona Montañosa de Gyr Abania serán accesibles como destino en la Aethernet."
33,TEXT_AETHERYTE_FULL_OPEN_DOMAN_ENCLAVE,"Te has vinculado con con todos los Fragmentos de Aethernet de el Enclave de Doma. El Río Único será accesible como destino en la Aethernet."
34,TEXT_AETHERYTE_FULL_OPEN_DOMAN_ENCLAVE_WITH_QUESTCOMP,"Te has vinculado con con todos los Fragmentos de Aethernet de el Enclave de Doma. El Río Único y Gangos serán accesibles como destino en la Aethernet."
35,TEXT_AETHERYTE_FULL_OPEN_CRYSTALIUM,"Te has vinculado con con todos los Fragmentos de Aethernet de El Crystarium. Las Tierras de los Lagos serán accessibles como destino en la Aethernet."
36,TEXT_AETHERYTE_FULL_OPEN_EURMORE,"Te has vinculado con con todos los Fragmentos de Aethernet de Eulmore. Kholusia será accesible como destino en la Aethernet."
37,TEXT_AETHERYTE_FULL_OPEN_OLD_SHARLAYAN,"Te has vinculado con con todos los Fragmentos de Aethernet de la Vieja Sharlayan."
