key,1,2
#,Name,Description
offset,0,4
int32,str,str
0,,
1,Aplastar a tus Enemigos I,Derrota 100 enemigos.
2,Aplastar a tus Enemigos II,Derrota 500 enemigos.
3,Aplastar a tus Enemigos III,Derrota 1,000 enemigos.
4,Aplastar a tus Enemigos IV,Derrota 5,000 enemigos.
5,Aplastar a tus Enemigos V,Derrota 10,000 enemigos.
6,Aplastar a tus Enemigos VI,Derrota 50,000 enemigos.
7,Que los Cuerpos Golpeen el Suelo,Derrota 100,000 enemigos.
8,La Noscea Big Game Hunter,"Defeat the notorious monsters Barometz, Slippery Sykes, Gluttonous Gertrude, bomb baron, Unknown Soldier, great buffalo, and Old Six–arms."
9,Black Shroud Big Game Hunter,"Defeat the notorious monsters Queen Bolete, Alux, the Jackanapes, Sirocco, Phaia, Haughtpox Bloatbelly, and the Prince of Pestilence."
10,Thanalan Big Game Hunter,"Defeat the notorious monsters Cactuar Jack, elder mosshorn, Daddy Longlegs, Kokoroon Quickfingers, nest commander, Bardi, and Pyrausta."
11,Coerthas Big Game Hunter,"Defeat the notorious monsters Uraeus, Spitfire, and Downy Dunstan."
12,Mor Dhona Big Game Hunter,Defeat the notorious monster Dodore.
13,Shposhae Big Game Hunter,"Defeat the notorious monsters Shearing Sheridan, giant remora, and the lone coeurl."
14,Bane of the Tribes,"Defeat the notorious beastmen Lozol Totoloq the Decapitator, Flamefist Ahlygg Roh, and 3rd Order Patriarch Zu Ga."
15,Notorious Monster Hunting,Defeat 25 different notorious monsters.
16,Had Me Some Fun,Defeat Ifrit in the Bowl of Embers (Hard).
17,Most Adorable Death Ever,Defeat Good King Moggle Mog XII in Thornmarch (Hard).
18,Where the Wind Blows,Defeat Garuda in the Howling Eye (Hard).
19,Stick Them with the Pointy End I,Achieve gladiator level 10.
20,Stick Them with the Pointy End II,Achieve gladiator level 20.
21,Stick Them with the Pointy End III,Achieve gladiator level 30.
22,Stick Them with the Pointy End IV,Achieve gladiator level 40.
23,Stick Them with the Pointy End V,Achieve gladiator level 50.
24,The Sweet Science I,Achieve pugilist level 10.
25,The Sweet Science II,Achieve pugilist level 20.
26,The Sweet Science III,Achieve pugilist level 30.
27,The Sweet Science IV,Achieve pugilist level 40.
28,The Sweet Science V,Achieve pugilist level 50.
29,An Axe to Grind I,Achieve marauder level 10.
30,An Axe to Grind II,Achieve marauder level 20.
31,An Axe to Grind III,Achieve marauder level 30.
32,An Axe to Grind IV,Achieve marauder level 40.
33,An Axe to Grind V,Achieve marauder level 50.
34,Strong Lance Arm I,Achieve lancer level 10.
35,Strong Lance Arm II,Achieve lancer level 20.
36,Strong Lance Arm III,Achieve lancer level 30.
37,Strong Lance Arm IV,Achieve lancer level 40.
38,Strong Lance Arm V,Achieve lancer level 50.
39,Just Talkin' 'bout Shafts I,Achieve archer level 10.
40,Just Talkin' 'bout Shafts II,Achieve archer level 20.
41,Just Talkin' 'bout Shafts III,Achieve archer level 30.
42,Just Talkin' 'bout Shafts IV,Achieve archer level 40.
43,Just Talkin' 'bout Shafts V,Achieve archer level 50.
44,Mastering War I,"Achieve level 50 as a gladiator, pugilist, marauder, archer, and lancer."
45,I Got the Magic Stick I,Achieve conjurer level 10.
46,I Got the Magic Stick II,Achieve conjurer level 20.
47,I Got the Magic Stick III,Achieve conjurer level 30.
48,I Got the Magic Stick IV,Achieve conjurer level 40.
49,I Got the Magic Stick V,Achieve conjurer level 50.
50,Bring Out Your Dead I,Achieve thaumaturge level 10.
51,Bring Out Your Dead II,Achieve thaumaturge level 20.
52,Bring Out Your Dead III,Achieve thaumaturge level 30.
53,Bring Out Your Dead IV,Achieve thaumaturge level 40.
54,Bring Out Your Dead V,Achieve thaumaturge level 50.
55,Mastering Magic I,"Achieve level 50 as a conjurer, thaumaturge, and arcanist."
56,A Life of Adventure I,Obtain the achievements “Mastering War I” and “Mastering Magic I.”
57,Knock on Wood I,Achieve carpenter level 10.
58,Knock on Wood II,Achieve carpenter level 20.
59,Knock on Wood III,Achieve carpenter level 30.
60,Knock on Wood IV,Achieve carpenter level 40.
61,Knock on Wood V,Achieve carpenter level 50.
62,"Temper, Temper I",Achieve blacksmith level 10.
63,"Temper, Temper II",Achieve blacksmith level 20.
64,"Temper, Temper III",Achieve blacksmith level 30.
65,"Temper, Temper IV",Achieve blacksmith level 40.
66,"Temper, Temper V",Achieve blacksmith level 50.
67,The Riddle of Steel I,Achieve armorer level 10.
68,The Riddle of Steel II,Achieve armorer level 20.
69,The Riddle of Steel III,Achieve armorer level 30.
70,The Riddle of Steel IV,Achieve armorer level 40.
71,The Riddle of Steel V,Achieve armorer level 50.
72,Heart of Gold I,Achieve goldsmith level 10.
73,Heart of Gold II,Achieve goldsmith level 20.
74,Heart of Gold III,Achieve goldsmith level 30.
75,Heart of Gold IV,Achieve goldsmith level 40.
76,Heart of Gold V,Achieve goldsmith level 50.
77,Tougher than Leather I,Achieve leatherworker level 10.
78,Tougher than Leather II,Achieve leatherworker level 20.
79,Tougher than Leather III,Achieve leatherworker level 30.
80,Tougher than Leather IV,Achieve leatherworker level 40.
81,Tougher than Leather V,Achieve leatherworker level 50.
82,"Smiling, Styling, and Textiling I",Achieve weaver level 10.
83,"Smiling, Styling, and Textiling II",Achieve weaver level 20.
84,"Smiling, Styling, and Textiling III",Achieve weaver level 30.
85,"Smiling, Styling, and Textiling IV",Achieve weaver level 40.
86,"Smiling, Styling, and Textiling V",Achieve weaver level 50.
87,'Tis True without Lying I,Achieve alchemist level 10.
88,'Tis True without Lying II,Achieve alchemist level 20.
89,'Tis True without Lying III,Achieve alchemist level 30.
90,'Tis True without Lying IV,Achieve alchemist level 40.
91,'Tis True without Lying V,Achieve alchemist level 50.
92,All in Good Taste I,Achieve culinarian level 10.
93,All in Good Taste II,Achieve culinarian level 20.
94,All in Good Taste III,Achieve culinarian level 30.
95,All in Good Taste IV,Achieve culinarian level 40.
96,All in Good Taste V,Achieve culinarian level 50.
97,Mastering the Hand I,"Achieve level 50 as a carpenter, blacksmith, armorer, goldsmith, leatherworker, weaver, alchemist, and culinarian."
98,Breaking Rocks in the Hot Sun I,Achieve miner level 10.
99,Breaking Rocks in the Hot Sun II,Achieve miner level 20.
100,Breaking Rocks in the Hot Sun III,Achieve miner level 30.
101,Breaking Rocks in the Hot Sun IV,Achieve miner level 40.
102,Breaking Rocks in the Hot Sun V,Achieve miner level 50.
103,Fear the Reaper I,Achieve botanist level 10.
104,Fear the Reaper II,Achieve botanist level 20.
105,Fear the Reaper III,Achieve botanist level 30.
106,Fear the Reaper IV,Achieve botanist level 40.
107,Fear the Reaper V,Achieve botanist level 50.
108,Gone Fishin' I,Achieve fisher level 10.
109,Gone Fishin' II,Achieve fisher level 20.
110,Gone Fishin' III,Achieve fisher level 30.
111,Gone Fishin' IV,Achieve fisher level 40.
112,Gone Fishin' V,Achieve fisher level 50.
113,Mastering the Land I,"Achieve level 50 as a miner, botanist, and fisher."
114,On the Payroll I,Earn a cumulative total of 100 gil from levequests.
115,On the Payroll II,"Earn a cumulative total of 1,000 gil from levequests."
116,On the Payroll III,"Earn a cumulative total of 10,000 gil from levequests."
117,On the Payroll IV,"Earn a cumulative total of 100,000 gil from levequests."
118,On the Payroll V,"Earn a cumulative total of 1,000,000 gil from levequests."
119,Who Wants to Be a Gillionaire?,"Earn a cumulative total of 10,000,000 gil from levequests."
120,You Can't Take It with You I,"Earn a cumulative total of 1,000 gil from defeating enemies."
121,You Can't Take It with You II,"Earn a cumulative total of 10,000 gil from defeating enemies."
122,You Can't Take It with You III,"Earn a cumulative total of 100,000 gil from defeating enemies."
123,You Can't Take It with You IV,"Earn a cumulative total of 1,000,000 gil from defeating enemies."
124,You Can't Take It with You V,"Earn a cumulative total of 10,000,000 gil from defeating enemies."
125,Never Met a Corpse I Couldn't Rifle,"Earn a cumulative total of 100,000,000 gil from defeating enemies."
126,My Body Is a Temple,"Obtain a complete set of templar armor consisting of a templar's chain coif, a templar's haubergeon, and a pair of templar's sollerets.
※Speak to Jonathas in Old Gridania with all three items equipped."
127,Dress Like a Pirate Day,"Obtain a complete set of buccaneer armor consisting of a buccaneer's tricorne, a buccaneer's shirt, and a pair of buccaneer's boots.
※Speak to Jonathas in Old Gridania with all three items equipped."
128,A Mummer in Motley,"Obtain a complete set of harlequin armor consisting of a harlequin's cap, a harlequin's acton, and a pair of harlequin's tights.
※Speak to Jonathas in Old Gridania with all three items equipped."
129,Raising the Curtana,Obtain Curtana and a Holy Shield in the quest “A Relic Reborn.”
130,Enter the Coeurl,Obtain a pair of Sphairai in the quest “A Relic Reborn.”
